intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2015-06-11:6810:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,encabezado de acta: lista de asistentes y fecha,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-06-11:6857:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,le parece bastante claro que la única opción relevante es la que plantea la Gerencia de División Estudios en el sentido de mantener la tasa y el sesgo,alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-07-14:6878:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la inflación global en dólares permanece en niveles históricamente bajos, aunque exhibe un leve repunte frente a la Reunión previa",alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-08-13:6955:1,ia_ronda,neutral,0.00,0.20,0.80,-0.20,hablar públicamente de un riesgo para el anclaje de las expectativas de inflación sería equivalente a decirle al mercado que no le crea al Banco,media,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-08-13:6962:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,constancia de fecha de reunión y cesión de la palabra,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-08-13:6969:1,ia_ronda,dovish,0.00,0.70,0.30,-0.70,"esta es una segunda razón, poderosa, por la cual estima que no corresponde considerar la opción de subir la TPM en esta oportunidad",alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-09-15:6980:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,encabezado de acta: lista de asistentes y fecha,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-09-15:7045:1,ia_ronda,hawkish,0.80,0.00,0.20,0.80,la convergencia de la inflación a 3% en el horizonte de política requerirá reducir el elevado estímulo monetario actual,alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-10-15:7075:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,la demanda por alimentos no se vería afectada por la evolución de la economía china,alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-10-15:7093:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,ofrecimiento de la palabra,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-10-15:7107:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,ofrecimiento de la palabra,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-11-12:7124:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,la FED tiene espacio para un alza más gradual que la que indican los puntos dots y que se iría acercando a la posición del mercado,alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-11-12:7129:1,ia_ronda,neutral,0.00,0.10,0.90,-0.10,"internamente, se ha optado por la utilización de un rango, que en este caso se ha desplazado levemente hacia arriba",media,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-11-12:7148:3,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,fórmula procedimental de apertura de la votación,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-12-17:7207:1,ia_ronda,hawkish,0.80,0.00,0.20,0.80,"incluso en ese escenario parece razonable llevar la tasa de política a 3,5%, tal como se recomienda en la minuta de opciones",alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-12-17:7210:1,ia_ronda,hawkish,0.90,0.00,0.10,0.90,"se inclina por recomendar un aumento de 25 puntos base en esta Reunión, para llevar la tasa de política a 3,5%",alta,1,,piloto_t4_r4,v2,2026-09-15,ia_agente
RPM-2015-12-17:7211:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,ofrecimiento de la palabra,piloto_t4_r4,v2,2026-09-15,ia_agente
