intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2005-08-11:338:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"si se tiene un período de exceso de acumulación de inventario y después continúa alto pero no tanto, los inventarios se siguen acumulando",alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-08-11:360:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,transito procedimental: apertura de la votacion,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-09-08:391:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,ofrecimiento de la palabra,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-11-10:491:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,suspension de la sesion (logistica),escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-12-13:507:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"se refiera también sobre el riesgo en el consumo americano, en relación con la situación de los precios del sector inmobiliario",alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-12-13:507:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,"estos riesgos se ven algo más atenuados, por cuanto el precio de las viviendas en los Estados Unidos de América se está desacelerando",alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-12-13:510:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la situación de México, que bajó inesperadamente la tasa en 50 puntos base, y que ha tenido un ciclo parecido al de Brasil",alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-12-13:516:3,ia_ronda,neutral,0.00,0.00,1.00,0.00,"primero es un ajuste de stocks, ya que la gente estaría reduciendo sus posiciones en Chile las que estaba usando para hacer coberturas con Brasil",alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2005-12-13:516:8,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,cierre de tema (logistica),escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2006-01-12:533:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la tendencia inflacionaria y las expectativas de inflación, tras subir luego del incremento del precio de los combustibles en los meses recientes, han vuelto a 3%",alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2006-01-12:553:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"si esa mayor demanda agregada se está destinando preferentemente a bienes de capital importado y a bienes de consumo durable también importados, entonces no necesariamente se va a traducir en un crecimiento",alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2006-01-12:564:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,las bajas de tasas agresivas del Banco Central empezaron en el mes de enero de 2002,alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2006-02-09:581:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,ella motiva una revisión al alza para el año 2006,alta,1,,escalado_t05_r09,v2,2026-09-15,ia_agente
RPM-2006-02-09:587:10,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,constancia de asistencia y transito a opciones (logistica),escalado_t05_r09,v2,2026-09-15,ia_agente
