intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2005-09-08:390:1,ia_ronda,hawkish,0.8,0.0,0.2,0.8,es difícil justificar una opción distinta a aumentar la tasa de política monetaria en 25 puntos base,alta,1,opciones del staff (sep-2005): recomienda +25 explícito; descarta mantención y +50,enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2005-11-10:474:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,"la evaluación de la tasa neutral ha ido cambiando en el tiempo, lo que está también detrás de estos cálculos",alta,1,"metodología del impulso monetario (tasa corta/larga, expectativas)",enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2005-11-10:482:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,puede obedecer a problemas de liquidez de algunos bancos por el calce,alta,1,explicación técnica de movimientos de tasas cortas,enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2005-11-10:492:1,ia_ronda,hawkish,0.8,0.0,0.2,0.8,"se puede justificar un aumento de 25 puntos base, considerando que es un movimiento coherente con continuar normalizando la política monetaria",alta,1,opciones del staff (nov-2005): justifica +25 para continuar la normalización,enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2005-11-10:499:1,ia_ronda,hawkish,0.9,0.0,0.1,0.9,"la opción que considera apropiada para esta oportunidad, es elevar la Tasa de Política Monetaria en 25 puntos base",alta,1,voto +25 quinta alza consecutiva para evitar desanclaje de expectativas,enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2005-11-10:503:1,ia_ronda,hawkish,0.9,0.0,0.1,0.9,su voto también es por subir la tasa de política monetaria en 25 puntos base,alta,1,"voto alza: producto sobre potencial, riesgo de desanclaje; seguir normalizando",enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2005-12-13:525:1,ia_ronda,dovish,0.0,0.7,0.3,-0.7,vota por mantener inalterada la tasa de política monetaria,alta,1,pausa tras 5 alzas: presiones inflacionarias cesando levemente; riesgo de sobrepasar,enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2006-02-09:582:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,"le llama la atención un alza de 10%, por cuanto se esperaba para estas semanas una caída bastante brusca",alta,1,sorpresa por alza de 10% (dato de coyuntura),enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2006-02-09:583:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,el alza de los inventarios de cobre es producto de la acumulación de stocks de los consumidores,alta,1,explicación del alza de inventarios de cobre (China),enriquecido_t09_r13,v2,2026-09-16,ia_agente
RPM-2006-02-09:595:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,,alta,0,trámite: aprueba texto del comunicado y levanta la sesión,enriquecido_t09_r13,v2,2026-09-16,ia_agente
