intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2005-01-11:24:1,ia_ronda,neutral,0.05,0.05,0.9,0.0,"un tema que se ha discutido a través del Informe de Política Monetaria, pero que es bueno que se vea de nuevo, es aquel de la evolución del tipo de cambio nominal que tenemos prevista",alta,1,,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-01-11:45:1,ia_ronda,neutral,0.03,0.03,0.94,0.0,"recuerda que en ediciones pasadas, de los últimos meses, sí han habido opciones de 50 puntos base",alta,1,comentario sobre edición de la comunicación (R2),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-01-11:48:1,ia_ronda,neutral,0.02,0.02,0.96,0.0,"piensa que realmente va a ser dicho documento el que va a recibir el escrutinio público. En su opinión, no le parece que sea esta Acta lo que llame la atención",alta,1,tema de transparencia y publicación (R2),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-02-10:60:1,ia_ronda,neutral,0.08,0.05,0.87,0.03,"Estas noticias, sin embargo, son todavía insuficientes como para motivar una revisión significativa del cuadro de proyecciones de mediano plazo",alta,1,exposición informativa del staff (R5),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-02-10:73:1,ia_ronda,neutral,0.0,0.0,1.0,0.0,,alta,0,ofrecimiento de la palabra; sin contenido evaluable,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-02-10:87:1,ia_ronda,neutral,0.03,0.05,0.92,-0.02,"la tasa de participación ha subido en torno a un punto porcentual en seis meses, lo cual es completamente inusual en el largo plazo",alta,1,dato de mercado laboral sin implicancia (R2),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-02-10:118:1,ia_ronda,neutral,0.0,0.0,1.0,0.0,,alta,0,reanudación de sesión,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-02-10:121:1,ia_ronda,hawkish,0.68,0.05,0.27,0.63,resulta recomendable continuar transitando hacia una política monetaria más neutral desde el actual nivel considerablemente expansivo,media,1,staff con recomendación de endurecimiento gradual (R5),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-02-10:124:1,ia_ronda,neutral,0.22,0.02,0.76,0.2,"se proyecta una normalización de la tasa de política monetaria, llegando a 5,0% a fines de este año",media,1,reporte de trayectoria del escenario base; no recomendación (R5),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-03-10:165:1,ia_ronda,neutral,0.06,0.06,0.88,0.0,"parecería que tendremos mayores niveles inflacionarios que en otros ciclos, lo que puede ser bueno porque el tipo de cambio real se apreciaría",media,1,discusión de mecanismos sin dirección de política (R2),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-03-10:180:1,ia_ronda,neutral,0.12,0.08,0.8,0.04,habría que tomar en consideración esos escenarios de manera de no aparecer también sobrerreaccionando,media,1,balance de riesgos con cautela táctica (R4),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-04-07:207:10,ia_ronda,neutral,0.0,0.0,1.0,0.0,,alta,0,ofrecimiento de la palabra; sin contenido evaluable,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-05-12:240:1,ia_ronda,neutral,0.05,0.05,0.9,0.0,"si los agentes no están de acuerdo con que la presión inflacionaria coincide con sus expectativas, van a comprar BCP. El punto que plantea es que, probablemente, esto no es instantáneo",media,1,arbitraje técnico de expectativas (R2),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-08-11:316:1,ia_ronda,neutral,0.02,0.02,0.96,0.0,"el Ministro de Hacienda, señor Nicolás Eyzaguirre consulta sobre el rango previsto para el crecimiento del PIB durante el año 2005",alta,1,consulta de dato de proyección,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-10-11:405:1,ia_ronda,neutral,0.0,0.0,1.0,0.0,,alta,0,ofrecimiento de la palabra,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-10-11:436:1,ia_ronda,neutral,0.0,0.0,1.0,0.0,,alta,0,suspensión y reanudación de sesión,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-11-10:479:1,ia_ronda,neutral,0.04,0.04,0.92,0.0,"los bancos están obteniendo, como ocurre en otros países del mundo, rentabilidad más bien por el lado de sus tasas de interés en la captación de fondos que por efectos de las comisiones",alta,1,análisis estructural de la banca (R2),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-11-10:500:1,ia_ronda,hawkish,0.85,0.05,0.1,0.8,el señor Consejero señala que vota por aumentar la tasa de política monetaria en 25 puntos base en el día de hoy,alta,1,voto explícito de alza (R1),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-11-10:503:2,ia_ronda,neutral,0.0,0.0,1.0,0.0,,alta,0,fórmula de adopción del acuerdo; sin argumentos,piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2005-12-13:516:7,ia_ronda,neutral,0.04,0.04,0.92,0.0,"en esta oportunidad se tiene más evidencia, que en ocasiones anteriores, que la acción de los extranjeros ha sido importante por los números que tenemos en los forwards",alta,1,comentario técnico de mercado (R2),piloto_t1_r1,v2,2026-09-15,ia_agente
RPM-2006-01-12:527:1,ia_ronda,neutral,0.0,0.0,1.0,0.0,,alta,0,encabezado formal del acta con asistencia,piloto_t1_r1,v2,2026-09-15,ia_agente
