intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2011-06-14:4114:1,ia_ronda,hawkish,0.95,0.00,0.05,0.95,"vota por subir la TPM en 25 puntos base, para dejarla en 5,25%",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-01-13:3651:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,solicita analizar el tipo de cambio real y la inflación doméstica,alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-01-13:3659:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"alimentos representa el 16,5% del IPC total y que 3,5% de este corresponde a frutas y verduras",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-02-17:3739:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"los fondos de inversión extranjeros han realizado muy pocos movimientos, no así las AFP y los fondos mutuos",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-02-17:3781:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"tiene una inflación muy baja, por un efecto de competencia en el sector comercial que ha disminuido los márgenes y los precios",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-08-18:4234:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,"para el año 2012 se espera un crecimiento de 1,5% para Estados Unidos, de 1% para Europa y de 8% para China",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-05-12:4021:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"esta nueva encuesta sugiere que aumentaría en invierno. A su juicio, esto resulta ser muy extraño",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-02-17:3780:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"si su precio cae por obsolescencia, la caída se reflejará en el índice de precios",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-10-13:4351:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"subraya la salida de especuladores, que eventualmente podría acentuarse, y la caída importante de su precio",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-09-15:4314:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,pregunta si acaso este dato no constituye información nueva,alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-11-15:4410:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"cualquier acuerdo por una suma inferior a US$500 billones no tendrá premio, porque igualmente se gatilla esa cláusula",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-09-15:4333:1,ia_ronda,dovish,0.00,0.70,0.30,-0.70,"se acuerda por unanimidad mantener la tasa de política monetaria en 5,25% anual",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-10-13:4361:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"las condiciones de oferta de crédito aparecen más deterioradas que en la encuesta anterior, fundamentalmente en el caso de los créditos para hipotecas, pymes y créditos comerciales",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
RPM-2011-01-13:3672:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"las tasas de crecimiento de los años 2006 y 2007 fueron aún mayores y cercanas al 40%, porque la base era mucho menor",alta,1,,escalado_t07_r11,v2,2026-09-15,ia_agente
