fecha,meeting_id,TPM,TPM_post,dTPM,policy_decision,ipc_ultimo,imacec_ultimo,desempleo_ultimo,dolar_reunion,cobre_reunion
2005-01-11,RPM-2005-01-11,2.25,2.5,0.25,sube,2.287799778,60.997060204058,,567.1,1.43790256735916
2005-02-10,RPM-2005-02-10,2.5,2.75,0.25,sube,2.181586089,58.268919701988,,580.29,1.47586863830173
2005-03-10,RPM-2005-03-10,2.75,2.75,0.0,mantiene,2.403865667,65.160412346315,,589.68,1.53297650367414
2005-04-07,RPM-2005-04-07,2.75,3.0,0.25,sube,2.950449915,64.37545096138,,585.19,1.53972602739726
2005-05-12,RPM-2005-05-12,3.0,3.25,0.25,sube,2.683598405,63.300283169448,,577.27,1.47378209198948
2005-06-09,RPM-2005-06-09,3.25,3.25,0.0,mantiene,2.66017256,62.240974281921,,589.68,1.59850766578971
2005-07-12,RPM-2005-07-12,3.25,3.5,0.25,sube,3.054786848,60.62778019104,,583.54,1.63939490156945
2005-08-11,RPM-2005-08-11,3.5,3.75,0.25,sube,2.963400895,63.155196419262,,542.51,1.72264809942847
2005-09-08,RPM-2005-09-08,3.75,4.0,0.25,sube,3.962224684,61.204357372753,,538.52,1.74990474462488
2005-10-11,RPM-2005-10-11,4.0,4.25,0.25,sube,4.153187055,65.630502708453,,530.44,1.84149505579243
2005-11-10,RPM-2005-11-10,4.25,4.5,0.25,sube,3.646418987,66.99599793774,,531.3,1.93655992016692
2005-12-13,RPM-2005-12-13,4.5,4.5,0.0,mantiene,3.666546944,70.401704127295,,512.04,2.0760092533793
2006-01-12,RPM-2006-01-12,4.5,4.5,0.0,mantiene,4.080732953,64.269602795469,,523.5,2.14747800054432
2006-02-09,RPM-2006-02-09,4.5,4.75,0.25,sube,4.07838381,62.488110171123,,530.97,2.2600018143881
2006-03-16,RPM-2006-03-16,4.75,4.75,0.0,mantiene,4.026941105,68.647650118138,,527.18,2.3146375759775
2006-04-13,RPM-2006-04-13,4.75,5.0,0.25,sube,3.768412513,67.635320987464,,512.44,2.89747800054432
2006-05-11,RPM-2006-05-11,5.0,5.0,0.0,mantiene,3.739782937,67.864066098357,,512.76,3.6495781547673
2006-06-15,RPM-2006-06-15,5.0,5.0,0.0,mantiene,3.925276011,66.446413492688,,544.51,3.26481447881702
2006-07-13,RPM-2006-07-13,5.0,5.25,0.25,sube,3.854560505,64.332903078673,,539.38,3.49818561190239
2006-08-10,RPM-2006-08-10,5.25,5.25,0.0,mantiene,3.814314111,65.948273488541,,543.72,3.49072847682119
2006-09-07,RPM-2006-09-07,5.25,5.25,0.0,mantiene,2.777980136,65.113551695834,,540.01,3.44840787444434
2006-10-12,RPM-2006-10-12,5.25,5.25,0.0,mantiene,2.024890078,70.480971763766,,536.46,3.40215458586592
2006-11-16,RPM-2006-11-16,5.25,5.25,0.0,mantiene,2.092317521,70.667382582297,,528.11,3.18841513199673
2006-12-14,RPM-2006-12-14,5.25,5.25,0.0,mantiene,2.556428226,74.587020892956,,527.24,3.02781003356618
2007-01-11,RPM-2007-01-11,5.25,5.0,-0.25,baja,2.788472217,67.845191279381,,543.29,2.57174090537966
2007-02-08,RPM-2007-02-08,5.0,5.0,0.0,mantiene,2.70405957,65.116565114977,,548.67,2.57482082917536
2007-03-15,RPM-2007-03-15,5.0,5.0,0.0,mantiene,2.542537146,73.244219190879,,540.15,2.92682572802322
2007-04-12,RPM-2007-04-12,5.0,5.0,0.0,mantiene,2.470664793,71.488095617641,,532.75,3.52284768211921
2007-05-10,RPM-2007-05-10,5.0,5.0,0.0,mantiene,2.858625626,71.440798702796,,519.13,3.48460945296199
2007-06-14,RPM-2007-06-14,5.0,5.0,0.0,mantiene,3.214180008,70.072986345226,,529.32,3.39103692279779
2007-07-12,RPM-2007-07-12,5.0,5.25,0.25,sube,3.803217661,66.805588387192,,518.84,3.61694184886147
2007-08-09,RPM-2007-08-09,5.25,5.5,0.25,sube,4.646436164,69.297823047217,,518.19,3.40810124285585
2007-09-13,RPM-2007-09-13,5.5,5.75,0.25,sube,5.797656061,68.798380919881,,515.26,3.46955456772204
2007-10-11,RPM-2007-10-11,5.75,5.75,0.0,mantiene,6.397966379,73.415997744712,,496.69,3.63260001814388
2007-11-13,RPM-2007-11-13,5.75,5.75,0.0,mantiene,7.392562763,74.134087787802,,507.39,3.160074389912
2007-12-13,RPM-2007-12-13,5.75,6.0,0.25,sube,7.784337386,78.605712387657,,498.19,2.98814750975234
2008-01-10,RPM-2008-01-10,6.0,6.25,0.25,sube,7.420073873,72.021359084329,,487.25,3.20285766125374
2008-02-07,RPM-2008-02-07,6.25,6.25,0.0,mantiene,8.03343366,69.921220421093,,474.47,3.5778327134174
2008-03-13,RPM-2008-03-13,6.25,6.25,0.0,mantiene,8.461211311,76.844728447913,,432.38,3.82803683207838
