intervencion_id,fold,etapa,contraste,b_activa,sentido,rango,termino,tfidf,coef_contraste,aporte,df_train
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,a_favor,1,que,0.11533860603116176,2.690485098958898,0.3103168008615316,1025
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,a_favor,2,tipo,0.18198451299301613,1.1541449570367819,0.21003650792968429,161
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,a_favor,3,cambio,0.1573744859755003,0.8113810965997099,0.1276906830076171,242
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,a_favor,4,en,0.04561492450383499,2.3012769776798927,0.10497257559928186,909
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,a_favor,5,mas,0.06588339702551083,1.4796838986786187,0.09748660176889917,516
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,en_contra,1,pareceria,0.24016694055464324,-0.7125209216408004,-0.1711239698316457,3
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,en_contra,2,al,0.10032780429477688,-0.9939780279709111,-0.09972363306357382,621
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,en_contra,3,habria,0.1402196252026182,-0.522085798807805,-0.07320667503243995,64
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,en_contra,4,senor,0.04107020231270584,-1.7079814552811943,-0.0701471439147484,1032
RPM-2005-03-10:165:1,1,A,relevante_vs_irrelevante,True,en_contra,5,ministro,0.11121079931664751,-0.41087141249049325,-0.045693338199427745,145
RPM-2005-03-10:165:1,1,B,neutral_vs_dovish,True,a_favor,1,real,0.13263986399491332,0.2095101943254801,0.02778940368087954,89
RPM-2005-03-10:165:1,1,B,neutral_vs_dovish,True,a_favor,2,porque,0.0632232465367747,0.34934379801260823,0.022086649067844355,171
RPM-2005-03-10:165:1,1,B,neutral_vs_dovish,True,a_favor,3,explicaciones,0.1379434322461711,0.13469108720917114,0.01857975086260142,6
