etapa,contraste,termino,folds_presente,folds_positivo,folds_negativo,coef_medio,coef_sd,coef_min,coef_max,df_train_min,df_train_max,reuniones_train_min
A,relevante_vs_irrelevante,agrega,5,5,0,1.013549802226434,0.06867344601891857,0.927334575777934,1.0976063639560434,362,378,95
A,relevante_vs_irrelevante,alza,5,5,0,1.3347777775454535,0.060917687640023845,1.2414150743630152,1.3956357529239396,239,254,89
A,relevante_vs_irrelevante,ano,5,5,0,1.3397913034985462,0.11048930068313631,1.194141305987652,1.5135944579284482,327,331,97
A,relevante_vs_irrelevante,anual,5,5,0,0.9645744562192539,0.08934719076103742,0.8516755922547796,1.1135264990348746,146,153,74
A,relevante_vs_irrelevante,base,5,5,0,0.8291494055587398,0.13186110868848722,0.7032339852156863,1.0830287558558556,230,242,80
A,relevante_vs_irrelevante,cambio,5,5,0,0.8919254459457724,0.11099007436837219,0.7729758346721735,1.0897759667846285,240,248,91
A,relevante_vs_irrelevante,como,5,5,0,1.0099109374151616,0.09104093569736184,0.9098668130035737,1.1766494581336413,383,401,105
A,relevante_vs_irrelevante,con,5,5,0,1.729132660664094,0.12767936990775872,1.5016986616094217,1.8803801595890557,608,625,112
A,relevante_vs_irrelevante,consumo,5,5,0,1.0220346034547032,0.06212605114764343,0.9281621092793074,1.071910883713006,149,168,67
A,relevante_vs_irrelevante,crecimiento,5,5,0,1.1803693325895352,0.06109743122926769,1.0922607965972926,1.2697350927798792,317,331,101
A,relevante_vs_irrelevante,cuanto,5,5,0,1.0266989785554728,0.02059246988010698,0.9932691279638238,1.0518628656064892,180,194,82
A,relevante_vs_irrelevante,del,5,5,0,1.0305737733407305,0.17087223547415095,0.7486519023279401,1.229333101949725,781,795,113
A,relevante_vs_irrelevante,en,5,5,0,2.284106146502791,0.23748908297111004,2.0195658429663106,2.672875988816225,909,921,113
A,relevante_vs_irrelevante,es,5,5,0,1.0651760197558329,0.11085842768300011,0.8811166989826,1.2165931879958298,585,593,110
A,relevante_vs_irrelevante,este,5,5,0,1.016885538799918,0.08727082271842541,0.9333972958646356,1.1823996848117355,407,421,103
A,relevante_vs_irrelevante,ha,5,5,0,0.9303778844287768,0.08480678982591049,0.8105010945438208,1.0423382061215716,453,468,109
A,relevante_vs_irrelevante,inflacion,5,5,0,1.426389039917845,0.07587242078668734,1.2940332993875716,1.4949390680111931,373,380,101
A,relevante_vs_irrelevante,lo,5,5,0,1.3318459900526889,0.11364252311076685,1.2188494884600236,1.528673518587812,654,670,109
A,relevante_vs_irrelevante,los,5,5,0,1.345394361478609,0.1099852714220551,1.2502178911225763,1.5404414098113928,728,746,113
A,relevante_vs_irrelevante,mas,5,5,0,1.4442202339177501,0.03649935939404084,1.3818008599971052,1.4817591929491252,514,529,105
A,relevante_vs_irrelevante,petroleo,5,5,0,0.9768457332685816,0.06920300789731079,0.8615120188431207,1.0465639054960048,163,180,66
A,relevante_vs_irrelevante,proyeccion,5,5,0,1.0535005680454281,0.05888291833790175,0.9400277011799818,1.1093057304851563,135,143,64
A,relevante_vs_irrelevante,puntos,5,5,0,1.0882580790848084,0.029231561577998822,1.0352603882177938,1.1228623909345172,199,213,74
A,relevante_vs_irrelevante,que,5,5,0,2.66223826411721,0.14426950542172573,2.443478749957186,2.821315902440883,1025,1031,114
A,relevante_vs_irrelevante,se,5,5,0,1.3310031091394436,0.06780416345961399,1.2449236373759214,1.4425138960366466,893,904,114
A,relevante_vs_irrelevante,senala,5,5,0,1.277206215549073,0.2447230318194641,1.0915025034559873,1.7559465836663524,484,498,101
A,relevante_vs_irrelevante,si,5,5,0,0.9033785137089139,0.3463861450231336,0.6438259574462372,1.5542097426713444,407,423,101
A,relevante_vs_irrelevante,sobre,5,5,0,0.7399417888214648,0.15808907389119858,0.6250256633637714,1.0498168776628634,352,371,106
A,relevante_vs_irrelevante,su,5,5,0,0.913277685226306,0.0798480907794653,0.7871557021173015,1.0054662110826873,461,475,110
A,relevante_vs_irrelevante,tambien,5,5,0,0.7652001772975769,0.11057895746168941,0.5982736152703118,0.9374381304974447,360,370,101
A,relevante_vs_irrelevante,tasa,5,5,0,2.345309653651159,0.12153298183895786,2.1235214386714247,2.458846579659631,381,400,104
A,relevante_vs_irrelevante,tipo,5,5,0,1.1925246865967112,0.04228184746638958,1.1541449570367819,1.2722225455883578,161,170,80
A,relevante_vs_irrelevante,un,5,5,0,1.6324854989734454,0.08013616472093561,1.5092516392062936,1.7255861395502377,655,664,112
A,relevante_vs_irrelevante,una,5,5,0,1.0867736388929825,0.1842019826106497,0.8734286427615856,1.3884410568537995,604,620,111
A,irrelevante_vs_relevante,00,5,5,0,1.3708813949343628,0.033426637014351376,1.334495257096199,1.4261851465013708,39,44,28
