intervencion_id,fold,termino,tfidf,coef_contraste,aporte,df_train_hawkish,df_train_dovish,df_train_neutral
RPM-2009-10-13:2758:1,2,actividad,0.021365305128261302,-0.2857066045268312,-0.006104208782875231,73,51,138
RPM-2009-10-13:2758:1,2,actividad inflacion,0.05825976412719629,-0.05572699347269801,-0.003246641495237193,1,1,2
RPM-2009-10-13:2758:1,2,activos,0.03467004172630637,0.0579932610096663,0.0020106287790497067,14,9,39
RPM-2009-10-13:2758:1,2,adoptadas,0.05010880290284236,-0.21484125111376082,-0.010765437907459503,0,3,8
RPM-2009-10-13:2758:1,2,adoptadas en,0.05825976412719629,-0.21220779255537864,-0.01236317594022936,0,2,2
RPM-2009-10-13:2758:1,2,adversas,0.060337319106171516,-0.0645289606835105,-0.003893504492350568,0,1,2
RPM-2009-10-13:2758:1,2,advierte,0.03576664851026031,-0.1365440172543984,-0.004883721871316987,8,10,37
RPM-2009-10-13:2758:1,2,advierte que,0.043655327695274235,-0.10093986874187591,-0.004406563047444562,4,7,12
RPM-2009-10-13:2758:1,2,al,0.031109295604940114,0.0034441952655141217,0.00010714648863601401,91,64,375
RPM-2009-10-13:2758:1,2,al proseguir,0.05278723711464946,0.03415632217258133,0.0018030178774884093,1,1,6
RPM-2009-10-13:2758:1,2,al proseguir con,0.05512707413296467,-0.04277135171062409,-0.00235785947651868,0,1,5
RPM-2009-10-13:2758:1,2,al proseguir con su,0.05656227811041048,0.003536773010168798,0.0002000479386145612,0,0,5
RPM-2009-10-13:2758:1,2,alcanzado,0.04743036869103527,-0.3873263262759306,-0.01837103045901161,1,6,8
RPM-2009-10-13:2758:1,2,alla,0.03342681149194509,-0.3110825872404134,-0.010398499002111861,20,18,33
RPM-2009-10-13:2758:1,2,alla de,0.034819011251232476,-0.38358225892363107,-0.013355954989235079,14,15,32
RPM-2009-10-13:2758:1,2,alla de lo,0.045830374629753076,-0.32889821336222785,-0.015073528333447361,3,6,9
RPM-2009-10-13:2758:1,2,anade,0.03233020470799115,-0.24383901822282195,-0.007883365374939418,9,15,56
RPM-2009-10-13:2758:1,2,anade que,0.03304674252975566,-0.13471172633728606,-0.004451783736007197,9,13,52
RPM-2009-10-13:2758:1,2,anterior,0.02277693846861555,0.30900622967045605,0.007038215879622862,72,40,113
RPM-2009-10-13:2758:1,2,anterior el,0.03866944048624806,0.4808670248177091,0.01859485879798757,24,7,9
RPM-2009-10-13:2758:1,2,anterior el presidente,0.05656227811041048,0.3241458289582802,0.01833442652586779,5,0,0
RPM-2009-10-13:2758:1,2,anterior el presidente senor,0.05656227811041048,0.3241458289582802,0.01833442652586779,5,0,0
