caso_id,intervencion_id,meeting_id,etiqueta,confianza,es_relevante,frase_justificante,nota,estado_revision,uso_propuesto,metodo,etiquetador,fecha_anotacion,version_codebook,ronda,tipo_referencia,n_caracteres,n_palabras,sha256_texto,flag_cotejo_fuente,incorporado_a_train
C01,RPM-2014-01-16:5991:1,RPM-2014-01-16,neutral,alta,1,"la nueva canasta implicará un sesgo al alza en algunos casos y en otros, a la baja","R2/R5. Diagnóstico de actividad e inflación. El sesgo al alza/a la baja se refiere a la canasta del INE, no a la TPM; no recomienda una dirección monetaria.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,1349,207,b9d30bbca87b350fa92cc76ce2ddad552e23dd3f1e78d35a17f248840ed6229d,False,0
C02,RPM-2008-09-04:2098:1,RPM-2008-09-04,hawkish,alta,1,se adhiere a la decisión de la mayoría de los Consejeros en cuanto a subir la Tasa de Política Monetaria en 50 puntos base,R1. Adhesión explícita a un alza de 50 pb. La dirección está contenida en la propia intervención; no se necesita consultar votos ajenos.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,218,37,cf981b9b75bc8778bf060e6844e60971d335414aa9cd1c416a7961f9ff96cd8f,False,0
C03,RPM-2006-08-10:817:1,RPM-2006-08-10,neutral,baja,1,"un tema distinto de la decisión misma de política
monetaria, pero que requiere de más análisis, es la conveniencia o no de señalar en el
comunicado de esta reunión si el panorama de tasas de interés hacia delante se modifica","R5/R9. Favorece una pausa y contrapone argumentos de alza; relata alzas pasadas/menos frecuentes, pero deja abierto el diagnóstico futuro. No convertir una pausa en D ni el relato previo en adhesión H clara. Caso dudoso: separar, no usar para enriquecer H/D.",duda_no_incorporar,duda_no_incorporar,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,8191,1338,f402cf0192abf5c1aaed57ee9e577fbfe1d1999619d2f76b9247f4c771c7d871,True,0
C04,RPM-2013-10-17:5855:1,RPM-2013-10-17,dovish,alta,1,"su voto es por reducir la Tasa de Política Monetaria en un cuarto de punto al nivel de 4,75% anual",R1. Vota por bajar 25 pb. Advertir que no necesariamente empieza un ciclo de bajas no revierte la dirección de la reducción respaldada.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,5361,874,2774a3c767210c769ff80607132a78c81e9e4074c26c5aa489f733affa23f8d1,False,0
C05,RPM-2005-09-08:396:1,RPM-2005-09-08,hawkish,alta,1,"En consecuencia, su voto es por un aumento de la tasa de política monetaria en 25 puntos base.",R1. Prefiere subir 25 pb y descarta mantener. Rechazar un alza mayor de 50 pb no equivale a favorecer una baja.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,2794,449,cca7e89d9f1c88d771f78f1fe702d894034bb17dab3f25009dd384d22e3881f4,False,0
C06,RPM-2013-07-11:5687:1,RPM-2013-07-11,dovish,alta,1,hacen aconsejable comenzar a reducir la TPM posiblemente entre los meses de agosto y septiembre del año en curso,"R5/R7. Recomendación propia de iniciar recortes y comunicar sesgo a la baja. La extensa historia de comunicados ilustra su propuesta actual, no es su único sustento.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,4899,811,632df8283a15aa5334b08616e6e5b593b07b562f179027ffd129b60d68862715,False,0
C07,RPM-2015-08-13:6967:1,RPM-2015-08-13,neutral,alta,1,"lo indicado exige un ajuste fino de equilibrios, el que se puede alcanzar a través de las conversaciones que se sostengan con el Presidente del Banco dentro de los próximos trimestres",R2/R3. Debate el significado de desanclaje y la coordinación monetario-fiscal sin fijar una dirección para la TPM chilena. Reconocer una función que podría subir tasas no es recomendar esa acción ahora.,anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,5442,894,1d0f0195b77af0cd005ad87d8fd15c20bd4f75d12a5ab54a763c33a52597ad33,True,0
C08,RPM-2005-07-12:310:2,RPM-2005-07-12,hawkish,alta,1,"Por lo anterior, su voto es a favor de un alza de 25 puntos bases en la TPM.",R1. Alza explícita de 25 pb respaldada por cierre de brechas y riesgos de inflación. No se infiere H solo de la palabra normalización.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,2623,425,8bfbe0b3a6e449a8d02cca4545cae3953223e191c8c44b06013748892f68313f,False,0
C09,RPM-2014-07-15:6340:2,RPM-2014-07-15,dovish,alta,1,"su voto es por recortar la Tasa de Política Monetaria en 25 puntos base, a 3,75% anual, y mantener el sesgo expansivo del último Comunicado","R1/R6. Voto y acuerdo de recorte, con sesgo expansivo. Se resuelve con el contenido propio aunque el comienzo remita a razones anteriores.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,887,149,416bc0af1c1019aa985b670ca8b62785f1cb4d10be63750fee61aa5f78b7369b,False,0
C10,RPM-2009-02-12:2375:1,RPM-2009-02-12,dovish,alta,1,el Vicepresidente señor Jorge Desormeaux vota por recortar la Tasa de Política Monetaria en 200 puntos base,"R1. Prefiere recortar 200 pb. La discusión entre 100, 200 y 300 pb y la prudencia comunicacional no convierten la opción elegida en H.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,6067,1009,dc838c92b5beb94a3e535e2b1344dee02fb44ccd270b408ac3e8df21fb2710d9,False,0
