caso_id,intervencion_id,fold,reunion_o_texto_validacion,candidato_hd_alta,potencialmente_incorporable,incorporado_a_train
C01,RPM-2014-01-16:5991:1,1,0,0,0,0
C01,RPM-2014-01-16:5991:1,2,0,0,0,0
C01,RPM-2014-01-16:5991:1,3,0,0,0,0
C01,RPM-2014-01-16:5991:1,4,0,0,0,0
C01,RPM-2014-01-16:5991:1,5,1,0,0,0
C02,RPM-2008-09-04:2098:1,1,0,1,1,0
C02,RPM-2008-09-04:2098:1,2,1,1,0,0
C02,RPM-2008-09-04:2098:1,3,0,1,1,0
C02,RPM-2008-09-04:2098:1,4,0,1,1,0
C02,RPM-2008-09-04:2098:1,5,0,1,1,0
C03,RPM-2006-08-10:817:1,1,1,0,0,0
C03,RPM-2006-08-10:817:1,2,0,0,0,0
C03,RPM-2006-08-10:817:1,3,0,0,0,0
C03,RPM-2006-08-10:817:1,4,0,0,0,0
C03,RPM-2006-08-10:817:1,5,0,0,0,0
C04,RPM-2013-10-17:5855:1,1,0,1,1,0
C04,RPM-2013-10-17:5855:1,2,0,1,1,0
C04,RPM-2013-10-17:5855:1,3,0,1,1,0
C04,RPM-2013-10-17:5855:1,4,0,1,1,0
C04,RPM-2013-10-17:5855:1,5,0,1,1,0
C05,RPM-2005-09-08:396:1,1,0,1,1,0
C05,RPM-2005-09-08:396:1,2,1,1,0,0
C05,RPM-2005-09-08:396:1,3,0,1,1,0
C05,RPM-2005-09-08:396:1,4,0,1,1,0
C05,RPM-2005-09-08:396:1,5,0,1,1,0
C06,RPM-2013-07-11:5687:1,1,0,1,1,0
C06,RPM-2013-07-11:5687:1,2,0,1,1,0
C06,RPM-2013-07-11:5687:1,3,0,1,1,0
C06,RPM-2013-07-11:5687:1,4,0,1,1,0
C06,RPM-2013-07-11:5687:1,5,0,1,1,0
C07,RPM-2015-08-13:6967:1,1,0,0,0,0
C07,RPM-2015-08-13:6967:1,2,0,0,0,0
C07,RPM-2015-08-13:6967:1,3,0,0,0,0
C07,RPM-2015-08-13:6967:1,4,0,0,0,0
C07,RPM-2015-08-13:6967:1,5,1,0,0,0
C08,RPM-2005-07-12:310:2,1,0,1,1,0
C08,RPM-2005-07-12:310:2,2,0,1,1,0
C08,RPM-2005-07-12:310:2,3,0,1,1,0
C08,RPM-2005-07-12:310:2,4,1,1,0,0
C08,RPM-2005-07-12:310:2,5,0,1,1,0
C09,RPM-2014-07-15:6340:2,1,0,1,1,0
C09,RPM-2014-07-15:6340:2,2,0,1,1,0
C09,RPM-2014-07-15:6340:2,3,1,1,0,0
C09,RPM-2014-07-15:6340:2,4,0,1,1,0
C09,RPM-2014-07-15:6340:2,5,0,1,1,0
C10,RPM-2009-02-12:2375:1,1,0,1,1,0
C10,RPM-2009-02-12:2375:1,2,0,1,1,0
C10,RPM-2009-02-12:2375:1,3,0,1,1,0
C10,RPM-2009-02-12:2375:1,4,0,1,1,0
C10,RPM-2009-02-12:2375:1,5,0,1,1,0
C11,RPM-2014-08-14:6388:1,1,0,1,1,0
C11,RPM-2014-08-14:6388:1,2,0,1,1,0
C11,RPM-2014-08-14:6388:1,3,1,1,0,0
C11,RPM-2014-08-14:6388:1,4,0,1,1,0
C11,RPM-2014-08-14:6388:1,5,0,1,1,0
C12,RPM-2009-03-12:2436:1,1,0,1,1,0
C12,RPM-2009-03-12:2436:1,2,0,1,1,0
C12,RPM-2009-03-12:2436:1,3,0,1,1,0
C12,RPM-2009-03-12:2436:1,4,0,1,1,0
C12,RPM-2009-03-12:2436:1,5,0,1,1,0
C13,RPM-2006-05-11:660:2,1,1,0,0,0
C13,RPM-2006-05-11:660:2,2,0,0,0,0
C13,RPM-2006-05-11:660:2,3,0,0,0,0
C13,RPM-2006-05-11:660:2,4,0,0,0,0
C13,RPM-2006-05-11:660:2,5,0,0,0,0
C14,RPM-2008-12-11:2250:1,1,1,1,0,0
C14,RPM-2008-12-11:2250:1,2,0,1,1,0
C14,RPM-2008-12-11:2250:1,3,0,1,1,0
C14,RPM-2008-12-11:2250:1,4,0,1,1,0
C14,RPM-2008-12-11:2250:1,5,0,1,1,0
C15,RPM-2011-10-13:4388:1,1,0,0,0,0
C15,RPM-2011-10-13:4388:1,2,0,0,0,0
C15,RPM-2011-10-13:4388:1,3,0,0,0,0
C15,RPM-2011-10-13:4388:1,4,0,0,0,0
C15,RPM-2011-10-13:4388:1,5,0,0,0,0
C16,RPM-2006-01-12:559:1,1,0,1,1,0
C16,RPM-2006-01-12:559:1,2,1,1,0,0
C16,RPM-2006-01-12:559:1,3,0,1,1,0
C16,RPM-2006-01-12:559:1,4,0,1,1,0
C16,RPM-2006-01-12:559:1,5,0,1,1,0
C17,RPM-2011-09-15:4289:1,1,0,0,0,0
C17,RPM-2011-09-15:4289:1,2,0,0,0,0
C17,RPM-2011-09-15:4289:1,3,0,0,0,0
C17,RPM-2011-09-15:4289:1,4,0,0,0,0
C17,RPM-2011-09-15:4289:1,5,1,0,0,0
C18,RPM-2015-04-16:6743:1,1,0,0,0,0
C18,RPM-2015-04-16:6743:1,2,0,0,0,0
C18,RPM-2015-04-16:6743:1,3,0,0,0,0
C18,RPM-2015-04-16:6743:1,4,1,0,0,0
C18,RPM-2015-04-16:6743:1,5,0,0,0,0
C19,RPM-2013-06-13:5576:3,1,0,0,0,0
C19,RPM-2013-06-13:5576:3,2,0,0,0,0
C19,RPM-2013-06-13:5576:3,3,0,0,0,0
C19,RPM-2013-06-13:5576:3,4,1,0,0,0
C19,RPM-2013-06-13:5576:3,5,0,0,0,0
C20,RPM-2011-11-15:4449:1,1,0,1,1,0
C20,RPM-2011-11-15:4449:1,2,0,1,1,0
C20,RPM-2011-11-15:4449:1,3,0,1,1,0
C20,RPM-2011-11-15:4449:1,4,0,1,1,0
C20,RPM-2011-11-15:4449:1,5,1,1,0,0
C21,RPM-2013-03-14:5405:1,1,0,0,0,0
C21,RPM-2013-03-14:5405:1,2,0,0,0,0
C21,RPM-2013-03-14:5405:1,3,0,0,0,0
C21,RPM-2013-03-14:5405:1,4,1,0,0,0
C21,RPM-2013-03-14:5405:1,5,0,0,0,0
C22,RPM-2008-07-10:1975:2,1,1,1,0,0
C22,RPM-2008-07-10:1975:2,2,0,1,1,0
