fold,origen,intervencion_id,meeting_id,etiqueta_v3,excluir_reunion,excluir_texto,incluido
1,ia89,RPM-2005-07-12:310:2,RPM-2005-07-12,hawkish,False,False,True
1,ia89,RPM-2005-09-08:396:1,RPM-2005-09-08,hawkish,False,False,True
1,ia89,RPM-2006-01-12:559:1,RPM-2006-01-12,hawkish,False,False,True
1,ia89,RPM-2006-05-11:660:2,RPM-2006-05-11,hawkish,True,False,False
1,ia89,RPM-2006-08-10:817:1,RPM-2006-08-10,neutral,True,False,False
1,ia89,RPM-2008-07-10:1975:2,RPM-2008-07-10,hawkish,True,False,False
1,ia89,RPM-2008-09-04:2098:1,RPM-2008-09-04,hawkish,False,False,True
1,ia89,RPM-2008-12-11:2250:1,RPM-2008-12-11,dovish,True,False,False
1,ia89,RPM-2009-02-12:2375:1,RPM-2009-02-12,dovish,False,False,True
1,ia89,RPM-2009-03-12:2436:1,RPM-2009-03-12,dovish,False,False,True
1,ia89,RPM-2010-08-12:3328:3,RPM-2010-08-12,neutral,True,False,False
1,ia89,RPM-2010-12-16:3641:1,RPM-2010-12-16,hawkish,False,False,True
1,ia89,RPM-2011-09-15:4289:1,RPM-2011-09-15,neutral,False,False,True
1,ia89,RPM-2011-10-13:4388:1,RPM-2011-10-13,neutral,False,False,True
1,ia89,RPM-2011-11-15:4449:1,RPM-2011-11-15,dovish,False,False,True
1,ia89,RPM-2011-12-13:4507:3,RPM-2011-12-13,dovish,False,False,True
1,ia89,RPM-2012-06-14:4876:1,RPM-2012-06-14,neutral,False,False,True
1,ia89,RPM-2013-03-14:5405:1,RPM-2013-03-14,neutral,False,False,True
1,ia89,RPM-2013-06-13:5576:3,RPM-2013-06-13,neutral,False,False,True
1,ia89,RPM-2013-07-11:5687:1,RPM-2013-07-11,dovish,False,False,True
1,ia89,RPM-2013-10-17:5855:1,RPM-2013-10-17,dovish,False,False,True
1,ia89,RPM-2014-01-16:5991:1,RPM-2014-01-16,neutral,False,False,True
1,ia89,RPM-2014-02-18:6055:2,RPM-2014-02-18,dovish,False,False,True
1,ia89,RPM-2014-04-17:6167:1,RPM-2014-04-17,dovish,False,False,True
1,ia89,RPM-2014-07-15:6340:2,RPM-2014-07-15,dovish,False,False,True
1,ia89,RPM-2014-08-14:6388:1,RPM-2014-08-14,dovish,False,False,True
1,ia89,RPM-2014-12-11:6537:1,RPM-2014-12-11,dovish,False,False,True
1,ia89,RPM-2015-04-16:6743:1,RPM-2015-04-16,neutral,False,False,True
1,ia89,RPM-2015-08-13:6967:1,RPM-2015-08-13,neutral,False,False,True
1,ia89,RPM-2015-12-17:7180:1,RPM-2015-12-17,neutral,False,False,True
1,ia89,RPM-2005-08-11:366:1,RPM-2005-08-11,hawkish,False,False,True
1,ia89,RPM-2005-09-08:400:1,RPM-2005-09-08,hawkish,False,False,True
1,ia89,RPM-2005-10-11:446:1,RPM-2005-10-11,hawkish,False,False,True
1,ia89,RPM-2006-04-13:654:2,RPM-2006-04-13,hawkish,False,False,True
1,ia89,RPM-2006-12-14:1013:2,RPM-2006-12-14,dovish,False,False,True
1,ia89,RPM-2007-01-11:1056:1,RPM-2007-01-11,dovish,False,False,True
1,ia89,RPM-2007-03-15:1159:1,RPM-2007-03-15,dovish,False,False,True
1,ia89,RPM-2007-06-14:1284:2,RPM-2007-06-14,neutral,True,False,False
1,ia89,RPM-2007-08-09:1389:1,RPM-2007-08-09,hawkish,False,False,True
1,ia89,RPM-2007-09-13:1462:1,RPM-2007-09-13,neutral,False,False,True
1,ia89,RPM-2008-01-10:1640:1,RPM-2008-01-10,hawkish,False,False,True
1,ia89,RPM-2008-02-07:1673:2,RPM-2008-02-07,hawkish,False,False,True
1,ia89,RPM-2009-02-12:2370:1,RPM-2009-02-12,dovish,False,False,True
1,ia89,RPM-2009-06-16:2598:1,RPM-2009-06-16,dovish,False,False,True
1,ia89,RPM-2009-07-09:2640:2,RPM-2009-07-09,neutral,False,False,True
1,ia89,RPM-2009-08-13:2680:4,RPM-2009-08-13,neutral,False,False,True
1,ia89,RPM-2010-06-15:3205:2,RPM-2010-06-15,hawkish,False,False,True
1,ia89,RPM-2010-09-16:3423:1,RPM-2010-09-16,hawkish,False,False,True
1,ia89,RPM-2010-11-16:3510:1,RPM-2010-11-16,neutral,False,False,True
1,ia89,RPM-2011-03-17:3890:1,RPM-2011-03-17,hawkish,False,False,True
1,ia89,RPM-2011-09-15:4325:1,RPM-2011-09-15,neutral,False,False,True
1,ia89,RPM-2012-01-12:4570:1,RPM-2012-01-12,dovish,False,False,True
1,ia89,RPM-2012-02-14:4575:1,RPM-2012-02-14,neutral,False,False,True
1,ia89,RPM-2012-05-17:4811:1,RPM-2012-05-17,neutral,False,False,True
1,ia89,RPM-2012-09-13:5082:1,RPM-2012-09-13,dovish,False,False,True
1,ia89,RPM-2012-12-13:5259:1,RPM-2012-12-13,neutral,False,False,True
1,ia89,RPM-2013-08-13:5742:1,RPM-2013-08-13,dovish,True,False,False
1,ia89,RPM-2015-06-11:6862:5,RPM-2015-06-11,dovish,False,False,True
1,ia89,RPM-2015-11-12:7151:1,RPM-2015-11-12,hawkish,False,False,True
1,ia89,RPM-2015-12-17:7177:1,RPM-2015-12-17,neutral,False,False,True
1,ia89,RPM-2005-07-12:309:1,RPM-2005-07-12,hawkish,False,False,True
1,ia89,RPM-2005-07-12:309:2,RPM-2005-07-12,hawkish,False,False,True
1,ia89,RPM-2006-07-13:778:1,RPM-2006-07-13,hawkish,False,False,True
1,ia89,RPM-2006-10-12:932:1,RPM-2006-10-12,neutral,False,False,True
