tipo_actor,actor,anios_observados,n_intervenciones,anio_inicial,score_inicial,anio_final,score_final,cambio_primero_ultimo,min_score_anual,max_score_anual,rango_score_anual,pendiente_anual
consejo_institucional,Consejo del Banco Central de Chile,11,503,2005,0.2672473446992346,2015,-0.0066935957405895195,-0.27394094043982414,-0.18991662566105041,0.2672473446992346,0.457163970360285,-0.03068668105637944
hacienda_gobierno,Andrés Velasco Brañes,5,222,2006,0.027913897960355823,2010,-0.005610408994526831,-0.033524306954882656,-0.0331653635490756,0.027913897960355823,0.06107926150943142,-0.009732316015791406
hacienda_gobierno,Nicolás Eyzaguirre Guzmán,2,78,2005,0.011465993069636658,2006,0.018257715111454176,0.006791722041817518,0.011465993069636658,0.018257715111454176,0.006791722041817518,
hacienda_gobierno,Felipe Larraín Bascuñán,5,56,2010,0.22051469521405911,2014,-0.4982131973110757,-0.7187278925251348,-0.4982131973110757,0.22856112706183385,0.7267743243729096,-0.20151903229607712
hacienda_gobierno,Alberto Arenas de Mesa,4,21,2006,0.16370987676970464,2015,-0.3374274865921723,-0.501137363361877,-0.35692357322616286,0.16370987676970464,0.5206334499958675,-0.05864846965075707
hacienda_gobierno,Rodrigo Cerda Norambuena,4,20,2010,-0.0014990268358038594,2013,-0.007800053498821393,-0.0063010266630175345,-0.007800053498821393,-5.718720220495062e-05,0.0077428662966164425,-0.0013755729519524626
miembro_consejo,José De Gregorio Rebeco,7,1047,2005,0.28476024219236473,2011,0.02743796144085872,-0.257322280751506,-0.031852568161000606,0.28476024219236473,0.31661281035336536,-0.04155287710915411
miembro_consejo,Rodrigo Vergara Montes,6,1026,2010,0.08394876001291225,2015,-0.017559498683183544,-0.1015082586960958,-0.08450328928443224,0.08394876001291225,0.16845204929734447,-0.027420393179349408
miembro_consejo,Manuel Marfán Lewis,9,855,2005,0.15610851512817922,2013,-0.08236283019889655,-0.23847134532707576,-0.08236283019889655,0.15610851512817922,0.23847134532707576,-0.02352106576323026
miembro_consejo,Sebastián Claro Edwards,9,592,2007,0.06320172005029788,2015,-0.02422473000905317,-0.08742645005935105,-0.1011430997831954,0.09710108385922413,0.19824418364241952,-0.016704355059515095
miembro_consejo,Enrique Marshall Rivera,10,483,2006,0.24819670418347087,2015,-0.11251344548807789,-0.36071014967154874,-0.24855792368087648,0.24819670418347087,0.4967546278643473,-0.039147874071664125
miembro_consejo,Vittorio Corbo Lioi,3,455,2005,0.0800122685841682,2007,0.02870763559785756,-0.05130463298631063,0.02870763559785756,0.0800122685841682,0.05130463298631063,-0.025652316493147108
miembro_consejo,Joaquín Vial Ruiz-Tagle,4,231,2012,-0.009613679746975188,2015,0.02414098749957349,0.03375466724654868,-0.09340499968258033,0.02414098749957349,0.11754598718215381,0.004295494501796389
miembro_consejo,Jorge Desormeaux Jiménez,5,221,2005,0.2962171940947458,2009,-0.07389204641791167,-0.3701092405126575,-0.07389204641791167,0.2962171940947458,0.3701092405126575,-0.08363284719080587
miembro_consejo,Pablo García Silva,2,100,2014,-0.11423141299084134,2015,-0.009201764977212385,0.10502964801362896,-0.11423141299084134,-0.009201764977212385,0.10502964801362896,
staff_tecnico,Claudio Soto Gamboa,7,801,2008,0.009773928384663863,2014,-0.19508146486126737,-0.20485539324593124,-0.19508146486126737,0.009773928384663863,0.20485539324593124,-0.023913065415497873
staff_tecnico,Sergio Lehmann Beresi,10,791,2005,0.03029030126454569,2014,-0.01705148643269446,-0.04734178769724015,-0.01705148643269446,0.03029030126454569,0.04734178769724015,-0.003497399855346051
staff_tecnico,Pablo García Silva,6,465,2005,0.043573430192684455,2010,0.05334665801756916,0.009773227824884705,-0.05002950815940094,0.05334665801756916,0.1033761661769701,-0.002722902080597282
staff_tecnico,Luis Óscar Herrera Barriga,7,302,2005,0.19572763286530268,2014,-0.1923315229970504,-0.38805915586235307,-0.1923315229970504,0.3535865316730133,0.5459180546700637,-0.048992423510649974
staff_tecnico,Miguel Fuentes Díaz,3,205,2013,-0.008135431444746351,2015,-0.018047943768550203,-0.009912512323803852,-0.05208247246258999,-0.008135431444746351,0.04394704101784364,-0.004956256161904417
staff_tecnico,Rodrigo Valdés Pulido,3,200,2005,0.2098351918923852,2007,0.06995210390480071,-0.13988308798758448,0.06995210390480071,0.2098351918923852,0.13988308798758448,-0.06994154399377246
staff_tecnico,Beltrán de Ramón Acevedo,11,183,2005,-0.013058658713313236,2015,-0.08804714276866954,-0.0749884840553563,-0.38328862285309173,0.12065649245068222,0.503945115303774,-0.03254569333067853
staff_tecnico,Igal Magendzo Weinberger,3,136,2006,0.033202318498834364,2008,0.012625948644324082,-0.020576369854510283,0.012625948644324082,0.03663448442825306,0.02400853578392898,-0.010288184927266415
staff_tecnico,Alberto Naudon Dell'Oro,2,116,2014,-0.2592521298152999,2015,-0.002810469304376961,0.25644166051092293,-0.2592521298152999,-0.002810469304376961,0.25644166051092293,
staff_tecnico,Kevin Cowan Logan,7,116,2008,0.007764857700072367,2014,-0.05122746174435679,-0.05899231944442916,-0.11120327784938715,0.007764857700072367,0.11896813554945951,-0.009071869543209867
staff_tecnico,Esteban Jadresic Marinovic,3,87,2005,0.11171833489981647,2007,-0.03383823642016038,-0.14555657131997685,-0.03383823642016038,0.12905311032747266,0.16289134674763303,-0.07277828565995913
staff_tecnico,Matías Bernier Bórquez,7,45,2009,-0.029056087993027755,2015,-0.009270787279168347,0.019785300713859408,-0.06017759139129464,0.012466822418471546,0.07264441380976619,-0.002255977072022557
staff_tecnico,Ricardo Vicuña Poblete,9,44,2005,-0.003948181648827389,2014,-0.007916499648026489,-0.0039683179991991,-0.008880278845610906,0.0011268259217146713,0.010007104767325577,-0.0007081644815824312
staff_tecnico,Klaus Schmidt-Hebbel Dunker,4,40,2005,0.644346030137503,2008,0.16094950954342793,-0.4833965205940751,0.16094950954342793,0.644346030137503,0.4833965205940751,-0.15661804100010887
staff_tecnico,Luis Felipe Céspedes Cifuentes,3,22,2009,-0.23488444681403176,2011,0.6922090729542403,0.927093519768272,-0.23488444681403176,0.6922090729542403,0.927093519768272,0.463546759884214
staff_tecnico,Miguel Ricaurte Bermúdez,2,21,2012,-0.005335400326412683,2014,-0.013912471262529928,-0.008577070936117245,-0.013912471262529928,-0.005335400326412683,0.008577070936117245,
staff_tecnico,Claudio Raddatz Kiefer,4,20,2012,-0.007772178873487391,2015,-0.07916386286346208,-0.0713916839899747,-0.24600368913068196,-0.007772178873487391,0.23823151025719458,-0.01104193078291169
staff_tecnico,Felipe Jaque,2,20,2008,-0.00019511085233017296,2010,0.002666037895800401,0.002861148748130574,-0.00019511085233017296,0.002666037895800401,0.002861148748130574,
