meeting_id,anio,actor,n_intervenciones_direccionales,etiqueta_decision_proxy,score_primera,score_ultima,cambio_score,distancia_inicial,distancia_final,convergencia,id_primera,id_ultima
RPM-2005-01-11,2005,Vittorio Corbo Lioi,2,neutral,0.6899166302784632,0.8697086687605518,0.17979203848208858,0.6899166302784632,0.8697086687605518,-0.17979203848208858,RPM-2005-01-11:30:1,RPM-2005-01-11:54:1
RPM-2005-02-10,2005,José De Gregorio Rebeco,2,hawkish,0.9178550907006295,0.9341932223139154,0.0163381316132859,0.08214490929937046,0.06580677768608456,0.0163381316132859,RPM-2005-02-10:135:1,RPM-2005-02-10:136:1
RPM-2005-03-10,2005,Vittorio Corbo Lioi,2,hawkish,0.612970717521376,0.6924411522431029,0.07947043472172688,0.387029282478624,0.3075588477568971,0.07947043472172688,RPM-2005-03-10:193:1,RPM-2005-03-10:196:1
RPM-2006-11-16,2006,Manuel Marfán Lewis,2,neutral,0.0880468133506435,0.3914644053553085,0.303417592004665,0.0880468133506435,0.3914644053553085,-0.303417592004665,RPM-2006-11-16:970:1,RPM-2006-11-16:983:1
RPM-2007-08-09,2007,Jorge Desormeaux Jiménez,2,neutral,0.7274669399345323,0.6668381045240055,-0.06062883541052677,0.7274669399345323,0.6668381045240055,0.06062883541052677,RPM-2007-08-09:1398:1,RPM-2007-08-09:1399:1
RPM-2008-01-10,2008,José De Gregorio Rebeco,2,neutral,0.7892560622855529,0.6868603991416022,-0.10239566314395065,0.7892560622855529,0.6868603991416022,0.10239566314395065,RPM-2008-01-10:1638:1,RPM-2008-01-10:1640:1
RPM-2008-01-10,2008,Sebastián Claro Edwards,2,neutral,0.6512974646751695,0.7224293527076744,0.07113188803250492,0.6512974646751695,0.7224293527076744,-0.07113188803250492,RPM-2008-01-10:1634:1,RPM-2008-01-10:1639:1
RPM-2008-03-13,2008,Sebastián Claro Edwards,2,neutral,0.1718800465015301,0.47914363660819237,0.30726359010666227,0.1718800465015301,0.47914363660819237,-0.30726359010666227,RPM-2008-03-13:1730:1,RPM-2008-03-13:1737:2
RPM-2008-07-10,2008,José De Gregorio Rebeco,2,neutral,0.7344984936327678,0.4494268082755544,-0.28507168535721333,0.7344984936327678,0.4494268082755544,0.28507168535721333,RPM-2008-07-10:1974:1,RPM-2008-07-10:1975:1
RPM-2008-07-10,2008,Sebastián Claro Edwards,2,neutral,0.593020327309361,0.6301152427526925,0.03709491544333143,0.593020327309361,0.6301152427526925,-0.03709491544333143,RPM-2008-07-10:1970:1,RPM-2008-07-10:1975:2
