ngram,conteo_direccional,conteo_neutral,log_odds,z_score,distintivo_de
politica,4642,4727,0.9594697591802008,46.4422338400305,direccional
monetaria,3859,3809,0.9903303707048856,43.36755887652604,direccional
politica monetaria,3761,3720,0.9882046700205294,42.74381335513455,direccional
de politica,3359,3457,0.9482833081425825,39.148136228311564,direccional
la tasa,2552,2550,0.9774798167998524,34.916527878038345,direccional
tasa de politica,1572,1030,1.3990270857842777,34.90663315010847,direccional
puntos base,1542,989,1.4203590326615956,34.872557044457196,direccional
tasa de politica monetaria,1494,964,1.4143137572804623,34.24205428313523,direccional
la tasa de politica,1393,884,1.430892794421136,33.28274071205193,direccional
tasa,2995,3495,0.82242887070751,33.03558822324493,direccional
base,1952,1750,1.085678674281894,32.985691034759704,direccional
inflacion,3921,5234,0.68823652061264,32.59195061686006,direccional
la tasa de,1985,1840,1.0523055074408134,32.523598330657,direccional
de politica monetaria,2680,3017,0.8582610795983241,32.3396262231525,direccional
puntos,1646,1332,1.1879602755772742,32.239740090875806,direccional
tasa de,2264,2366,0.9324885116323243,31.723544970128746,direccional
25,1049,551,1.6197523753799565,30.79307680801047,direccional
la politica,1078,683,1.4323306133721303,29.293766327416524,direccional
la politica monetaria,974,565,1.5204675369865477,28.75790599061738,direccional
25 puntos,783,316,1.8830247474709552,28.26189826410211,direccional
25 puntos base,772,311,1.8848183743981197,28.071395632824615,direccional
politica monetaria en,1005,674,1.375449333854676,27.63261792536425,direccional
monetaria en,1014,695,1.3536927094160047,27.494733895150013,direccional
de politica monetaria en,864,575,1.3830618608288123,25.703489043664355,direccional
la tpm,938,690,1.2829802740241663,25.586199285304055,direccional
la inflacion,2166,2801,0.719356630807777,25.14599152451137,direccional
decision,704,405,1.5286193027720394,24.515657460193168,direccional
la,23924,52738,0.18838253860971577,24.173506117177784,direccional
tpm,981,842,1.1287648074264887,24.031713069008223,direccional
normalizacion,604,298,1.6820950339723248,23.767231938844624,direccional
en 25,527,183,2.0331132988612843,23.702677343607455,direccional
de la politica,594,320,1.5942008740798714,22.99522666234509,direccional
meta,729,530,1.294607380601878,22.683719752796645,direccional
sesgo,528,256,1.699481561614717,22.32036320791756,direccional
de la politica monetaria,539,281,1.6269593813645704,22.116618514853435,direccional
en 25 puntos,421,104,2.373343150555245,21.68289220719701,direccional
en 25 puntos base,417,104,2.363801480094864,21.57515615837192,direccional
mantener,915,879,1.0160975875169207,21.518516928378624,direccional
escenario,1872,2589,0.6520599089765247,21.4969969160102,direccional
50 puntos,441,181,1.8659825623005641,21.144106806975188,direccional
50 puntos base,425,162,1.9398797838285837,21.015158983543657,direccional
en esta,842,795,1.0333600674501335,20.900186935399386,direccional
opcion,534,335,1.4419279693826539,20.692789542262588,direccional
comunicado,545,383,1.328455573493894,19.927785315778973,direccional
monetario,524,383,1.2891623039695217,19.180336836130635,direccional
de la tasa,660,602,1.067813016118846,18.950435777028904,direccional
de inflacion,1315,1748,0.6915005776535574,18.94694045686986,direccional
de normalizacion,336,136,1.879820128622498,18.501375005407322,direccional
