tipo_actor,actor,n_intervenciones,topico_k6,peso_medio,muestra_apta_radar,percentil_0_100,etiqueta_automatica_top5
consejo_institucional,Consejo del Banco Central de Chile,503,tema_k6_01,0.08223858885070563,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Alberto Arenas de Mesa,21,tema_k6_01,0.31388744374613153,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Alejandro Micco,12,tema_k6_01,0.45275824595157393,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Andrés Velasco Brañes,222,tema_k6_01,0.336609305242561,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Claudio Soto Gamboa,7,tema_k6_01,0.3798602179111605,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Felipe Larraín Bascuñán,56,tema_k6_01,0.39895322118403653,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Igal Magendzo Weinberger,4,tema_k6_01,0.45136226976697397,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Juan Pablo Araya Marco,1,tema_k6_01,0.39080028734491057,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Julio Dittborn Cordua,2,tema_k6_01,0.47249365328667725,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Luis Felipe Céspedes Cifuentes,2,tema_k6_01,0.07482387788890264,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Mario Marcel Cullell,5,tema_k6_01,0.4827234078706225,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,María Olivia Recart Herrera,4,tema_k6_01,0.3948366791937108,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Miguel Ángel Nacrur Gazali,7,tema_k6_01,0.5283351524700293,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Nicolás Eyzaguirre Guzmán,78,tema_k6_01,0.35634794628760946,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Pablo Mattar Oyarzún,1,tema_k6_01,0.24669954975021058,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Rodrigo Cerda Norambuena,20,tema_k6_01,0.5065143966395664,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Rodrigo Valdés Pulido,15,tema_k6_01,0.3424638316507726,False,,crecimiento | trimestre | mes | actividad | demanda
hacienda_gobierno,Rodrigo Álvarez Zenteno,1,tema_k6_01,0.3930527850527857,False,,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Enrique Marshall Rivera,483,tema_k6_01,0.4784014906629762,True,75.0,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Joaquín Vial Ruiz-Tagle,231,tema_k6_01,0.5210777556460511,True,100.0,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Jorge Desormeaux Jiménez,221,tema_k6_01,0.43067018698123716,True,50.0,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,José De Gregorio Rebeco,1047,tema_k6_01,0.33670100671790326,True,25.0,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Manuel Marfán Lewis,855,tema_k6_01,0.4354986713912679,True,62.5,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Mario Marcel Cullell,10,tema_k6_01,0.44209332354723535,False,,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,María Elena Ovalle Molina,17,tema_k6_01,0.34155863055835,False,,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Pablo García Silva,100,tema_k6_01,0.42124781081282836,True,37.5,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Rodrigo Vergara Montes,1026,tema_k6_01,0.286374543101945,True,12.5,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Sebastián Claro Edwards,592,tema_k6_01,0.5116822791353318,True,87.5,crecimiento | trimestre | mes | actividad | demanda
miembro_consejo,Vittorio Corbo Lioi,455,tema_k6_01,0.27780370882368155,True,0.0,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Alberto Naudon Dell'Oro,116,tema_k6_01,0.40240895318724806,False,,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Alfredo Pistelli,2,tema_k6_01,0.41657057744365134,False,,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Ari Aisen,1,tema_k6_01,0.26050846489204477,False,,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Beltrán de Ramón Acevedo,183,tema_k6_01,0.2767109507945488,False,,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Camilo Carrasco Alfonso,4,tema_k6_01,0.3009598287708418,False,,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Claudio Raddatz Kiefer,20,tema_k6_01,0.36260193187895845,False,,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Claudio Soto Gamboa,801,tema_k6_01,0.6224440340997287,False,,crecimiento | trimestre | mes | actividad | demanda
staff_tecnico,Diego Gianelli Gómez,62,tema_k6_01,0.43587556224186785,False,,crecimiento | trimestre | mes | actividad | demanda
