meeting_id,fecha,anio,n_intervenciones,eje_tematico,peso_medio_bruto,proporcion_seis_ejes,proporcion_corpus,indice_vs_corpus_base100,ranking_periodo,media_movil_12_reuniones,cambio_12_reuniones
RPM-2005-01-11,2005-01-11,2005,58,actividad_demanda,0.08084962530001327,0.1719062258046346,0.20378171244669416,84.35802395644426,2,,
RPM-2005-01-11,2005-01-11,2005,58,entorno_externo_commodities,0.07075437724969845,0.15044124084704902,0.32296667399977397,46.581041623865595,5,,
RPM-2005-01-11,2005-01-11,2005,58,inflacion_expectativas,0.05290372740128504,0.11248636063314753,0.1114496209181575,100.93023171047962,6,,
RPM-2005-01-11,2005-01-11,2005,58,mercado_laboral,0.11450688752539363,0.24346985889027967,0.1720143210368341,141.54045862154962,1,,
RPM-2005-01-11,2005-01-11,2005,58,mercados_estructura_tasas,0.07833462407659358,0.16655871347408524,0.0867820376501816,191.92763616070349,3,,
RPM-2005-01-11,2005-01-11,2005,58,tipo_cambio,0.07296313324079474,0.1551376003508039,0.1030056339483587,150.61079127825306,4,,
RPM-2005-02-10,2005-02-10,2005,82,actividad_demanda,0.10542268232516953,0.178099633888574,0.20378171244669416,87.39726040684924,3,,
RPM-2005-02-10,2005-02-10,2005,82,entorno_externo_commodities,0.13625604350607542,0.2301890914583938,0.32296667399977397,71.27332631804448,2,,
RPM-2005-02-10,2005-02-10,2005,82,inflacion_expectativas,0.0737038525803327,0.12451427786903045,0.1114496209181575,111.72247769282852,4,,
RPM-2005-02-10,2005-02-10,2005,82,mercado_laboral,0.17338907258353636,0.2929211215870811,0.1720143210368341,170.28879910781194,1,,
RPM-2005-02-10,2005-02-10,2005,82,mercados_estructura_tasas,0.06139938105701644,0.10372727240529439,0.0867820376501816,119.52620059858359,5,,
RPM-2005-02-10,2005-02-10,2005,82,tipo_cambio,0.0417599002210152,0.07054860279162631,0.1030056339483587,68.49004281357605,6,,
RPM-2005-03-10,2005-03-10,2005,62,actividad_demanda,0.08650611901330194,0.15223876102897144,0.20378171244669416,74.70678266519843,4,,
RPM-2005-03-10,2005-03-10,2005,62,entorno_externo_commodities,0.12307073143242923,0.2165874031329655,0.32296667399977397,67.06184277487314,2,,
