intervencion_id,meeting_id,fecha,anio,actor,tipo_actor,topico_modelo_1,peso_topico_1,topico_modelo_2,peso_topico_2,entropia_topicos,peso_tema_nmf_01,peso_tema_nmf_02,peso_tema_nmf_03,peso_tema_nmf_04,peso_tema_nmf_05,peso_tema_nmf_06,peso_tema_nmf_07,peso_tema_nmf_08,peso_tema_nmf_09,peso_tema_nmf_10,peso_tema_nmf_11,peso_tema_nmf_12,peso_tema_nmf_13,peso_tema_nmf_14
RPM-2005-01-11:1:1,RPM-2005-01-11,2005-01-11,2005,Consejo del Banco Central de Chile,consejo_institucional,tema_nmf_06,0.42336697741405976,tema_nmf_04,0.26474619930421384,0.5492942915994925,0.0,0.0,0.00498731382700359,0.26474619930421384,0.144237045034496,0.42336697741405976,0.11636937023064356,0.007833976118934091,0.0,0.0,0.03361669525169932,0.0,0.004842422818949805,0.0
RPM-2005-01-11:2:1,RPM-2005-01-11,2005-01-11,2005,Vittorio Corbo Lioi,miembro_consejo,tema_nmf_07,0.5563386794303031,tema_nmf_05,0.4016546045376279,0.32599435980838876,0.0,0.0,0.0,0.011350874245679413,0.4016546045376279,0.027551451320365506,0.5563386794303031,0.0,0.0,0.0,0.003104390466023986,0.0,0.0,0.0
RPM-2005-01-11:3:1,RPM-2005-01-11,2005-01-11,2005,Pablo García Silva,staff_tecnico,tema_nmf_01,0.1916854359984837,tema_nmf_03,0.16448904467788023,0.7997961045880838,0.1916854359984837,0.08459461901505728,0.16448904467788023,0.0006590616659397142,0.08593900959437303,0.001844086193957506,0.01320316668352454,0.14034535170785858,0.10699108615783762,0.05602131622919968,0.010198078189150587,0.14379608241171796,0.0002336614750195174,0.0
RPM-2005-01-11:4:1,RPM-2005-01-11,2005-01-11,2005,Pablo García Silva,staff_tecnico,tema_nmf_02,0.2123447779462295,tema_nmf_01,0.17794988025832534,0.7597065803073716,0.17794988025832534,0.2123447779462295,0.07885159711645398,0.0,0.0772652059929567,0.0,0.016685217350765003,0.022610792619788184,0.16312685990790896,0.1320132210679709,0.0,0.11915244773960133,0.0,0.0
RPM-2005-01-11:5:1,RPM-2005-01-11,2005-01-11,2005,Pablo García Silva,staff_tecnico,tema_nmf_09,0.16422366958772447,tema_nmf_02,0.1382771841546612,0.8210665972107752,0.12070429908296856,0.1382771841546612,0.13060921611805243,0.001758270682177167,0.10189252565991293,0.0,0.0011485142282645373,0.10195901893802033,0.16422366958772447,0.10581709585128654,0.00680076313302867,0.1053836435570802,0.0,0.021425799006823065
RPM-2005-01-11:6:1,RPM-2005-01-11,2005-01-11,2005,Vittorio Corbo Lioi,miembro_consejo,tema_nmf_11,0.43158329811391255,tema_nmf_02,0.13120118291338528,0.6747419324492369,0.06462897020566359,0.13120118291338528,0.0,0.12785296616808742,0.007280985620344974,0.03649290811491203,0.11016618350702936,0.0,0.017643473280268065,0.043574780585658036,0.43158329811391255,0.02957525149073857,0.0,0.0
RPM-2005-01-11:7:1,RPM-2005-01-11,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,hacienda_gobierno,tema_nmf_06,0.4708636122222913,tema_nmf_13,0.43699573480563625,0.37814026566051684,0.0,0.002569485965285195,0.008173805791214472,0.0,0.0,0.4708636122222913,0.0,0.07576161115563687,0.004864801337502868,0.0007709487224332399,0.0,0.0,0.43699573480563625,0.0
RPM-2005-01-11:8:1,RPM-2005-01-11,2005-01-11,2005,Sergio Lehmann Beresi,staff_tecnico,tema_nmf_13,0.5871007003244183,tema_nmf_08,0.10429242135926846,0.5883407269252425,0.05059085566287215,0.07051463501175327,0.06638123652718668,0.014824445968079527,0.0022427684281485713,0.01389577202545149,0.014192693364830053,0.10429242135926846,0.017061465852731893,0.03124363207675839,0.022489649179532764,0.0,0.5871007003244183,0.005169724218968392
RPM-2005-01-11:9:1,RPM-2005-01-11,2005-01-11,2005,Rodrigo Valdés Pulido,staff_tecnico,tema_nmf_04,0.6259464055416525,tema_nmf_07,0.266079266921888,0.3624958997927858,0.0,0.06869700863204485,0.0,0.6259464055416525,0.0,0.0,0.266079266921888,0.0,0.03927731890441468,0.0,0.0,0.0,0.0,0.0
RPM-2005-01-11:10:1,RPM-2005-01-11,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,hacienda_gobierno,tema_nmf_06,0.3637055073771046,tema_nmf_02,0.3270319126947014,0.45880626573012523,0.0,0.3270319126947014,0.0,0.0,0.0,0.3637055073771046,0.0,0.0,0.28085811289437346,0.013216880859384,0.0,0.0,0.0,0.015187586174436605
RPM-2005-01-11:11:1,RPM-2005-01-11,2005-01-11,2005,José De Gregorio Rebeco,miembro_consejo,tema_nmf_12,0.35036118437700103,tema_nmf_08,0.22610357360676853,0.6876878057026713,0.013860950830807326,0.12236297575470334,0.03365910616219595,0.0,0.11273397136562992,0.01162152144533909,0.0,0.22610357360676853,0.0,0.0788865544475908,0.0,0.35036118437700103,0.016564374538089427,0.03384578747187456
