intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2009-07-09:2644:2,data/etiquetas/etiquetas_piloto_r2.csv,Luis Felipe Céspedes Cifuentes,dovish,1,dovish,1,dovish,1,compatible,alta,es necesario imprimir un impulso monetario adicional al ya contemplado en el escenario central del IPoM de mayo,Compatible con dovish: . La dirección está respaldada en la unidad y no depende solo del menú o fase.,a24b8b549bf2f67a3fb5c3f8c548940b8e814ed1e434f75a96cd340c06c40955,4102
RPM-2009-08-13:2659:1,data/etiquetas/etiquetas_piloto_r2.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,la caída de la actividad ha continuado moderándose en los países desarrollados y se ha recuperado en las economías emergentes,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,533602fc494ca7d1b8ae425ecb04d8221203fb8deba6c83adb814bbab3437839,1191
RPM-2009-09-08:2689:1,data/etiquetas/etiquetas_piloto_r2.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: encabezado de acta: lista de asistentes y fecha,9b6c51530e93a0aada366230b8fb47e4e6c6e3e62a7deeb09b9b6524107c6551,1633
RPM-2009-09-08:2699:4,data/etiquetas/etiquetas_piloto_r2.csv,Claudio Soto Gamboa,neutral,1,neutral,1,neutral,1,compatible,alta,se está suponiendo que la tarifa eléctrica no aumenta ni se reduce por la fijación del precio de nudo,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,23994d3e7339107ab305faec918df1bee6baea22f3c6d8f5080f33c119fd8c0e,2251
RPM-2009-09-08:2711:2,data/etiquetas/etiquetas_piloto_r2.csv,José De Gregorio Rebeco,dovish,1,dovish,1,dovish,1,compatible,media,el mayor riesgo hoy día es que la inflación permanezca debajo de la meta más allá de lo deseado,Compatible con dovish: . La dirección está respaldada en la unidad y no depende solo del menú o fase.,30bc0ec5740a2030ccde238bbfc6ba180e66aa8f9d382d350b5adfa8d2b021e2,1523
RPM-2009-10-13:2714:1,data/etiquetas/etiquetas_piloto_r2.csv,José De Gregorio Rebeco,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: apertura de sesión y fijación de fecha de reunión,10d24acfd172b051d301fec9600957f14062c1d358c10b22f6926a3a47350769,295
RPM-2009-10-13:2725:5,data/etiquetas/etiquetas_piloto_r2.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,"se observa una clara tendencia hacia la apreciación de las monedas y en materia de CDS, una caída de los premios por riesgo en prácticamente todas las economías",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,93205d00eb7ba8325188cf23d1303b3db92e63b666d019d0a4d42a0bba5a0ec9,774
RPM-2009-10-13:2742:1,data/etiquetas/etiquetas_piloto_r2.csv,Kevin Cowan Logan,neutral,1,neutral,1,neutral,1,compatible,alta,"las AFP básicamente han salido al exterior cubiertas, de manera que el impacto en el tipo de cambio es acotado",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,4ab8bf13e16e4d05d218c746208393cb525893fa6b71ae14f3d95a6590eab477,242
RPM-2009-11-12:2776:1,data/etiquetas/etiquetas_piloto_r2.csv,José De Gregorio Rebeco,neutral,1,neutral,1,neutral,1,compatible,alta,"Puede ser un escenario de riesgo, que no se puede descartar, consistente en que se esté creciendo por debajo de la brecha el próximo año",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,5044e2a809893a9ac1fcf9170cd2767a95760e29b8fea2a2e2819a86b1a08f59,719
RPM-2009-11-12:2781:1,data/etiquetas/etiquetas_piloto_r2.csv,Enrique Marshall Rivera,neutral,1,neutral,1,neutral,1,compatible,alta,los bonos en UF a corto plazo tienen que arbitrarse por inflación,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,05d317fac32449cd096b1ff66874a2009780ad4e4c6b58ad40a28a54131ed47d,249
RPM-2009-12-15:2809:1,data/etiquetas/etiquetas_piloto_r2.csv,José De Gregorio Rebeco,neutral,1,neutral,1,neutral,1,compatible,alta,"esos puntos porcentuales son del monto del crédito, sobre la operación que se está cubriendo",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,33b000f19bc49a5cd955fc0c0dcd25b5b46bef728e13c0221984b86dd0e2071f,213
RPM-2009-12-15:2821:1,data/etiquetas/etiquetas_piloto_r2.csv,Claudio Soto Gamboa,neutral,1,neutral,1,neutral,1,compatible,alta,las colocaciones registran una incipiente recuperación,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,e9dfe6e1bbd02cf772cac95cba2711fcee156e3422932f575b37ad9baff347b1,1395
RPM-2009-12-15:2823:2,data/etiquetas/etiquetas_piloto_r2.csv,Claudio Soto Gamboa,neutral,1,neutral,1,neutral,1,compatible,alta,"hubo una apreciación fuerte de la moneda durante el mes pasado, mientras que durante el presente ha permanecido sin mayores variaciones",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,b60ee1520c1eb8842f2987b67e1fde3ee07e9931ae0937a1ffe350f51a5e051d,1365
RPM-2009-12-15:2829:1,data/etiquetas/etiquetas_piloto_r2.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,una meta basada en inflación total hace que las tasas de inflación sean demasiado volátiles,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,bd5e4b707e5f48506ec59c06c0ed5c3ca58e0374ecce443932ab60164d0b205c,381
RPM-2010-01-14:2843:2,data/etiquetas/etiquetas_piloto_r2.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,las proyecciones para el año 2010 han tendido a ajustarse levemente al alza,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,fd81b5d9ae93cb5a1000336cca442dc376f0659a6c07c81c5d45c6befcd76ed9,2106
RPM-2010-01-14:2850:1,data/etiquetas/etiquetas_piloto_r2.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,hay una preocupación de riesgo legítimo de que tal vez la recuperación o la estabilidad que se ha visto en los últimos meses no es tal o está sostenida por fundamentales que pueden continuar estando muy mal,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,5493a275f6fb5dd2581e9e1cf3661e950c27e9c35b6bde453962fef5a87556bd,3612
RPM-2010-01-14:2859:1,data/etiquetas/etiquetas_piloto_r2.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,este es un fenómeno propio de una coyuntura de una economía que vuelve a crecer,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,b2987337b4ca0ff7810df60a2e06c725866789ae633198012ebb9dbea38703dd,663
RPM-2010-01-14:2865:1,data/etiquetas/etiquetas_piloto_r2.csv,Rodrigo Vergara Montes,neutral,1,neutral,1,neutral,1,compatible,alta,habría una desacumulación muy fuerte en sus inventarios,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,bdde2f1a32ceafaf3a19428a76098cf4c649cb5d6c0b78bc2e67e89bbf73eeaa,177
