intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2005-08-11:338:1,data/etiquetas/etiquetas_escalado_r9.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,"si se tiene un período de exceso de acumulación de inventario y después continúa alto pero no tanto, los inventarios se siguen acumulando",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,25393a7e9085c6ba7495ce0971d62b0e192078c9e48dad715eea66e6478d2f6b,315
RPM-2005-08-11:360:1,data/etiquetas/etiquetas_escalado_r9.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: transito procedimental: apertura de la votacion.,7746c4229ec549ed0ceccd73c48f5b2472b250ef74dbd7fcad1edf7f8d8698b5,114
RPM-2005-09-08:391:1,data/etiquetas/etiquetas_escalado_r9.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: ofrecimiento de la palabra.,386caa80604c21f21ec750eebcd89c99965c6ce62fe45f172e9a52c1d6e4ecd7,74
RPM-2005-11-10:491:1,data/etiquetas/etiquetas_escalado_r9.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: suspension de la sesion (logistica).,b7eacc75c299fc3f4499d6bbb1b89f02f6dde4d50331cf57c967d2596ed2d5ed,128
RPM-2005-12-13:507:1,data/etiquetas/etiquetas_escalado_r9.csv,Esteban Jadresic Marinovic,neutral,1,neutral,1,neutral,1,compatible,alta,"se refiera también sobre el riesgo en el consumo americano, en relación con la situación de los precios del sector inmobiliario",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,562be95b0e87523aac1914c9c80f1d28d3b312e0a2eb6f951c4a9e8611bf62f7,265
RPM-2005-12-13:507:2,data/etiquetas/etiquetas_escalado_r9.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,"estos riesgos se ven algo más atenuados, por cuanto el precio de las viviendas en los Estados Unidos de América se está desacelerando",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,f08e214331256deef8db0107d9948916ee7ab2e2e06e50eef0230774283e3e3c,228
RPM-2005-12-13:510:1,data/etiquetas/etiquetas_escalado_r9.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,"la situación de México, que bajó inesperadamente la tasa en 50 puntos base, y que ha tenido un ciclo parecido al de Brasil",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,6d542c7a17b2f73ed213c84f5501f258fe8ba0d2bde50f14154a94413f73f5eb,322
RPM-2005-12-13:516:3,data/etiquetas/etiquetas_escalado_r9.csv,Jorge Desormeaux Jiménez,neutral,1,neutral,1,neutral,1,compatible,alta,"primero es un ajuste de stocks, ya que la gente estaría reduciendo sus posiciones en Chile las que estaba usando para hacer coberturas con Brasil",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,1cdf80c557234d9ceb6289b17953e25cf9bde18896186e9e5d03430b8b499db3,326
RPM-2005-12-13:516:8,data/etiquetas/etiquetas_escalado_r9.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: cierre de tema (logistica).,fd5e66616f36905924729f5ccf65e0462e90e5080b812dc5942b7b262847c161,75
RPM-2006-01-12:533:1,data/etiquetas/etiquetas_escalado_r9.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,"la tendencia inflacionaria y las expectativas de inflación, tras subir luego del incremento del precio de los combustibles en los meses recientes, han vuelto a 3%",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,c177ecf13d136cd7168828df2e2ce3e558a864d72a2d160d0098192f44027477,13331
