fold,variante,n_train,n_validacion,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral
1,unigramas,1194,158,0.8987341772151899,0.6748325358851673,0.5263157894736842,0.5454545454545454,0.9527272727272728,0.625,0.75,0.9225352112676056,0.45454545454545453,0.42857142857142855,0.9849624060150376,8,8,142
1,unigramas_lexico,1194,158,0.9177215189873418,0.7306225853442269,0.6,0.631578947368421,0.9602888086642599,0.75,0.75,0.9366197183098591,0.5,0.5454545454545454,0.9851851851851852,8,8,142
1,ngramas_1_4,1194,158,0.9240506329113924,0.7417974711140177,0.625,0.6363636363636364,0.9640287769784173,0.625,0.875,0.9436619718309859,0.625,0.5,0.9852941176470589,8,8,142
1,ngramas_1_4_lexico,1194,158,0.8924050632911392,0.591294673897928,0.47058823529411764,0.35294117647058826,0.950354609929078,0.5,0.375,0.9436619718309859,0.4444444444444444,0.3333333333333333,0.9571428571428572,8,8,142
2,unigramas,1193,159,0.9685534591194969,0.9039801344671679,0.9032258064516129,0.8235294117647058,0.9851851851851852,1.0,0.875,0.9708029197080292,0.8235294117647058,0.7777777777777778,1.0,14,8,137
2,unigramas_lexico,1193,159,0.9622641509433962,0.8782585406499227,0.9032258064516129,0.75,0.981549815498155,1.0,0.75,0.9708029197080292,0.8235294117647058,0.75,0.9925373134328358,14,8,137
2,ngramas_1_4,1193,159,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137
2,ngramas_1_4_lexico,1193,159,0.949685534591195,0.7898057498057498,0.9333333333333333,0.46153846153846156,0.9745454545454545,1.0,0.375,0.9781021897810219,0.875,0.6,0.9710144927536232,14,8,137
3,unigramas,1193,159,0.8930817610062893,0.7326756620874267,0.7027027027027027,0.5384615384615384,0.9568627450980393,0.8125,0.5,0.9457364341085271,0.6190476190476191,0.5833333333333334,0.9682539682539683,16,14,129
3,unigramas_lexico,1193,159,0.9119496855345912,0.7845315904139434,0.7222222222222222,0.6666666666666666,0.9647058823529412,0.8125,0.6428571428571429,0.9534883720930233,0.65,0.6923076923076923,0.9761904761904762,16,14,129
3,ngramas_1_4,1193,159,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129
3,ngramas_1_4_lexico,1193,159,0.9056603773584906,0.7646205251087022,0.7368421052631579,0.5925925925925926,0.9644268774703557,0.875,0.5714285714285714,0.9457364341085271,0.6363636363636364,0.6153846153846154,0.9838709677419355,16,14,129
4,unigramas,1193,159,0.8867924528301887,0.7013855709507885,0.6285714285714286,0.5217391304347826,0.9538461538461539,0.6470588235294118,0.75,0.9253731343283582,0.6111111111111112,0.4,0.9841269841269841,17,8,134
4,unigramas_lexico,1193,159,0.8930817610062893,0.7468545946806816,0.6857142857142857,0.6086956521739131,0.9461538461538461,0.7058823529411765,0.875,0.917910447761194,0.6666666666666666,0.4666666666666667,0.9761904761904762,17,8,134
4,ngramas_1_4,1193,159,0.8805031446540881,0.7038169066076043,0.6857142857142857,0.48,0.9457364341085271,0.7058823529411765,0.75,0.9104477611940298,0.6666666666666666,0.35294117647058826,0.9838709677419355,17,8,134
4,ngramas_1_4_lexico,1193,159,0.8805031446540881,0.7152447552447553,0.7272727272727273,0.48,0.9384615384615385,0.7058823529411765,0.75,0.9104477611940298,0.75,0.35294117647058826,0.9682539682539683,17,8,134
5,unigramas,1194,158,0.9177215189873418,0.7372267145852053,0.6666666666666666,0.5714285714285714,0.9735849056603774,0.7142857142857143,0.5454545454545454,0.9699248120300752,0.625,0.6,0.9772727272727273,14,11,133
5,unigramas_lexico,1194,158,0.8860759493670886,0.640517961570593,0.6666666666666666,0.3,0.9548872180451128,0.7142857142857143,0.2727272727272727,0.9548872180451128,0.625,0.3333333333333333,0.9548872180451128,14,11,133
5,ngramas_1_4,1194,158,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133
5,ngramas_1_4_lexico,1194,158,0.8987341772151899,0.7008970643323279,0.6896551724137931,0.45454545454545453,0.9584905660377359,0.7142857142857143,0.45454545454545453,0.9548872180451128,0.6666666666666666,0.45454545454545453,0.9621212121212122,14,11,133
