intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2005-01-11:1:1,data/etiquetas/etiquetas_escalado_r5.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: encabezado de acta: lista de asistentes y fecha.,b3168228aaa4393c44600ec6c2eaab34f113d1a7441da3bb15f9b7502417915d,1260
RPM-2005-01-11:2:1,data/etiquetas/etiquetas_escalado_r5.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: fijacion de fecha de sesion futura (logistica).,87b7d01f8f403f0816b217793e725f622c4065281027c01f52ebe9a3186a0211,119
RPM-2005-01-11:3:1,data/etiquetas/etiquetas_escalado_r5.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,Ello ha permitido continuar con una normalización pausada de la política monetaria y congruente con una convergencia gradual de la inflación proyectada del IPC a 3%,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,51801fd61577a0707e19b493870f51f75b5ec7ee37f6807cd7fe9e52570883f3,8223
RPM-2005-01-11:4:1,data/etiquetas/etiquetas_escalado_r5.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,"las medidas de inflación subyacente han evolucionado por debajo de lo inicialmente previsto, diferencia que se redujo a algunas décimas desde el Informe de Política Monetaria de septiembre",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,316dd4b8378270556da816c3ff713d46bb63ff6a0714ab25c3b05bbae1ac3899,4183
RPM-2005-01-11:5:1,data/etiquetas/etiquetas_escalado_r5.csv,Pablo García Silva,neutral,1,hawkish,1,hawkish,1,compatible,media,"estos escenarios alternativos configuran un balance de riesgos que es balanceado para el crecimiento y con un sesgo al alza, en el mediano plazo, para la inflación",Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,3b8b14ab20f39562311eecb73a4ff73db6218e8bf97b9b475dd5bcde570e9737,4423
RPM-2005-01-11:6:1,data/etiquetas/etiquetas_escalado_r5.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: ofrecimiento de la palabra.,6ee5f7ff7d20d8b1098a911740c7081dbf36a1b49eca58ea731d50b6560de211,159
RPM-2005-01-11:7:1,data/etiquetas/etiquetas_escalado_r5.csv,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,1,neutral,1,compatible,alta,"consulta si la revisión hacia arriba respecto de algunos países tales como Estados Unidos de América, y algunos países del Asia, es primera vez que se hace en tal dirección",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,67e5ec2995363e9b905a9217eadc22e46c2ca8b5c33ff192b07373e2f587f5e9,236
RPM-2005-01-11:8:1,data/etiquetas/etiquetas_escalado_r5.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,"en realidad, que la economía americana ha tenido un desempeño más fuerte y ello ha repercutido positivamente en lugares como Asia y América Latina",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,0b97f701a207c7c9d3743e4d7df8e85035a11940b2b31b94041cb526263bf018,463
RPM-2005-01-11:9:1,data/etiquetas/etiquetas_escalado_r5.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,en el caso de latinoamérica ya teníamos en meses pasados revisiones hacia arriba,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,a1f896c1497c0e951391459bd682261a0da4b7ea66fe3b63a7820d2f51c2b385,243
RPM-2005-01-11:10:1,data/etiquetas/etiquetas_escalado_r5.csv,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,1,neutral,1,compatible,alta,"si esto significa que el mercado cree que el promedio de la inflación de los próximos 10 años va a ser 2,5%",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,115ede2ab764ac70dc3ac6399936af0196780b734b3de07bc3b510df2f3768ee,135
RPM-2005-01-11:11:1,data/etiquetas/etiquetas_escalado_r5.csv,José De Gregorio Rebeco,neutral,1,neutral,1,neutral,1,compatible,alta,"la UF también es una tasa que fluctúa mucho, por lo tanto también hay una prima de riesgo en las tasas en UF",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,7c5b21297983edd5e3480f461d458fc067e85895d4e7e3674b0e928426bab5d7,245
RPM-2005-01-11:12:1,data/etiquetas/etiquetas_escalado_r5.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,la prima de riesgo tiende a aumentar las tasas en UF por lo tanto la diferencia entre la nominal y la UF es más baja,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,81e9ef67ef2beee7ce407bceee0c9a237ed43a0e0fb09b600de9fe7a7da6e18c,185
RPM-2005-01-11:13:1,data/etiquetas/etiquetas_escalado_r5.csv,Luis Óscar Herrera Barriga,neutral,1,neutral,1,neutral,1,compatible,alta,desde el punto de vista del largo plazo para ellos el activo más seguro es el activo denominado en UF,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,74b15639627a4c2db94b2b3c2b3599f329f1fc0a16e1bf9f99f84a4cf5e02efd,622
RPM-2005-01-11:14:1,data/etiquetas/etiquetas_escalado_r5.csv,Esteban Jadresic Marinovic,neutral,1,neutral,1,neutral,1,compatible,alta,"la compensación inflacionaria en general debería ser menor que la expectativa de inflación implícita, porque hay que darle un premio adicional a los papeles nominales",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,6792502ab9eed5ccfe5c098a7c1da6ede20c10af3703e1d2f664ab48e3519085,822
RPM-2005-01-11:15:1,data/etiquetas/etiquetas_escalado_r5.csv,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,1,neutral,1,compatible,alta,ha sido un poco más intensivo en inversión y el consumo ha sido un poco más estable,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,53d7239738af609f4866ff9334126f370766127ee24cf484e7ea991ab5caca5c,300
