caso_id,intervencion_id,fold,reunion_o_texto_validacion,candidato_hd_alta,potencialmente_incorporable,incorporado_a_train
E001,RPM-2009-02-12:2373:1,1,0,1,1,0
E001,RPM-2009-02-12:2373:1,2,0,1,1,0
E001,RPM-2009-02-12:2373:1,3,0,1,1,0
E001,RPM-2009-02-12:2373:1,4,0,1,1,0
E001,RPM-2009-02-12:2373:1,5,0,1,1,0
E002,RPM-2009-01-08:2298:1,1,0,1,1,0
E002,RPM-2009-01-08:2298:1,2,0,1,1,0
E002,RPM-2009-01-08:2298:1,3,0,1,1,0
E002,RPM-2009-01-08:2298:1,4,0,1,1,0
E002,RPM-2009-01-08:2298:1,5,0,1,1,0
E003,RPM-2013-11-19:5887:1,1,0,1,1,0
E003,RPM-2013-11-19:5887:1,2,1,1,0,0
E003,RPM-2013-11-19:5887:1,3,0,1,1,0
E003,RPM-2013-11-19:5887:1,4,0,1,1,0
E003,RPM-2013-11-19:5887:1,5,0,1,1,0
E004,RPM-2015-10-15:7106:1,1,0,1,1,0
E004,RPM-2015-10-15:7106:1,2,0,1,1,0
E004,RPM-2015-10-15:7106:1,3,0,1,1,0
E004,RPM-2015-10-15:7106:1,4,1,1,0,0
E004,RPM-2015-10-15:7106:1,5,0,1,1,0
E005,RPM-2006-07-13:778:1,1,0,1,1,0
E005,RPM-2006-07-13:778:1,2,0,1,1,0
E005,RPM-2006-07-13:778:1,3,0,1,1,0
E005,RPM-2006-07-13:778:1,4,0,1,1,0
E005,RPM-2006-07-13:778:1,5,1,1,0,0
E006,RPM-2015-09-15:7037:1,1,0,1,1,0
E006,RPM-2015-09-15:7037:1,2,0,1,1,0
E006,RPM-2015-09-15:7037:1,3,0,1,1,0
E006,RPM-2015-09-15:7037:1,4,0,1,1,0
E006,RPM-2015-09-15:7037:1,5,1,1,0,0
E007,RPM-2008-05-08:1839:1,1,0,0,0,0
E007,RPM-2008-05-08:1839:1,2,0,0,0,0
E007,RPM-2008-05-08:1839:1,3,0,0,0,0
E007,RPM-2008-05-08:1839:1,4,0,0,0,0
E007,RPM-2008-05-08:1839:1,5,1,0,0,0
E008,RPM-2010-07-15:3272:1,1,0,1,1,0
E008,RPM-2010-07-15:3272:1,2,0,1,1,0
E008,RPM-2010-07-15:3272:1,3,0,1,1,0
E008,RPM-2010-07-15:3272:1,4,0,1,1,0
E008,RPM-2010-07-15:3272:1,5,0,1,1,0
E009,RPM-2013-09-12:5802:1,1,0,0,0,0
E009,RPM-2013-09-12:5802:1,2,0,0,0,0
E009,RPM-2013-09-12:5802:1,3,0,0,0,0
E009,RPM-2013-09-12:5802:1,4,0,0,0,0
E009,RPM-2013-09-12:5802:1,5,0,0,0,0
E010,RPM-2014-08-14:6375:1,1,0,0,0,0
E010,RPM-2014-08-14:6375:1,2,0,0,0,0
E010,RPM-2014-08-14:6375:1,3,1,0,0,0
E010,RPM-2014-08-14:6375:1,4,0,0,0,0
E010,RPM-2014-08-14:6375:1,5,0,0,0,0
E011,RPM-2005-07-12:309:2,1,0,1,1,0
E011,RPM-2005-07-12:309:2,2,0,1,1,0
E011,RPM-2005-07-12:309:2,3,0,1,1,0
E011,RPM-2005-07-12:309:2,4,1,1,0,0
E011,RPM-2005-07-12:309:2,5,0,1,1,0
E012,RPM-2006-10-12:932:1,1,0,0,0,0
E012,RPM-2006-10-12:932:1,2,1,0,0,0
E012,RPM-2006-10-12:932:1,3,0,0,0,0
E012,RPM-2006-10-12:932:1,4,0,0,0,0
E012,RPM-2006-10-12:932:1,5,0,0,0,0
E013,RPM-2007-07-12:1352:1,1,1,1,0,0
E013,RPM-2007-07-12:1352:1,2,0,1,1,0
E013,RPM-2007-07-12:1352:1,3,0,1,1,0
E013,RPM-2007-07-12:1352:1,4,0,1,1,0
E013,RPM-2007-07-12:1352:1,5,0,1,1,0
E014,RPM-2012-01-12:4571:1,1,0,1,1,0
