intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2011-12-13:4466:1,data/etiquetas/etiquetas_piloto_r3.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,varias economías reanudaron sus procesos de reducción de tasas,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,44878e455a09838f4a96fb9ce0d8bbdf211bce07654f41d9394b9746ad3a40ff,3323
RPM-2011-12-13:4502:3,data/etiquetas/etiquetas_piloto_r3.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: reanudación de sesión,1d64b6e720f1224be7307b3c87cefade9b88f76e26eb3ba10e7efcb00a5d9288,75
RPM-2012-01-12:4528:1,data/etiquetas/etiquetas_piloto_r3.csv,Manuel Marfán Lewis,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: consulta aclaratoria sin contenido de postura,57e2a8cb4b6289f86522312ab7f4f13a9812955b8cb11fef09cd7d3df11d18d3,113
RPM-2012-01-12:4537:2,data/etiquetas/etiquetas_piloto_r3.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,la incertidumbre respecto del precio del petróleo en los meses venideros es bastante significativa,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,a60d91a0165a0ffd08cbdc01887cf506683e01449f63501977bee8f06d577403,3153
RPM-2012-01-12:4559:1,data/etiquetas/etiquetas_piloto_r3.csv,Enrique Marshall Rivera,neutral,1,neutral,1,neutral,1,compatible,alta,su sugerencia apunta a ser cautelosos a la hora de extraer conclusiones muy definitivas respecto de los movimientos que se puedan estar apreciando en los mercados,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,98df7040cc70a0071ba25ca9ad4c33b81e2f861507e82f70b68e07e633afd4e6,1188
RPM-2012-02-14:4615:1,data/etiquetas/etiquetas_piloto_r3.csv,Joaquín Vial Ruiz-Tagle,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: consulta aclaratoria sin contenido de postura,f0fcb0935f2bc2e7d24a02f49aac648fc54cf02fed7dfa8ba26bce1142216896,225
RPM-2012-02-14:4640:1,data/etiquetas/etiquetas_piloto_r3.csv,Felipe Larraín Bascuñán,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: fórmula protocolar de felicitación,e8b2d66beb439f19e6eba53e3a42d5f7faf3a6f3a75e7a6e79a4bc3230d87e87,210
RPM-2012-03-15:4713:1,data/etiquetas/etiquetas_piloto_r3.csv,Luis Óscar Herrera Barriga,neutral,1,neutral,1,neutral,1,compatible,alta,la mayor parte del repunte de la demanda se concentró también en las compras de durables e importaciones de capital,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,0767903e4b3e201f0cc5ca225005d79dd4a41c531f227332abd0bdd655ae1aa4,205
RPM-2012-03-15:4719:6,data/etiquetas/etiquetas_piloto_r3.csv,Claudio Soto Gamboa,neutral,1,neutral,1,neutral,1,compatible,alta,"la velocidad de la inflación subyacente ha tendido a aumentar en los últimos meses, explicando, en parte, la corrección al alza en la proyección de inflación",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,3a134f1ad89803964c6b5d9090917c148965fdbe8c46ff60bfa9989da6eeb104,4926
RPM-2012-05-17:4812:1,data/etiquetas/etiquetas_piloto_r3.csv,Sebastián Claro Edwards,neutral,1,neutral,1,neutral,1,compatible,alta,el Board de la Reserva Federal estaría mayormente inclinado a diseñar algún mecanismo para continuar con la tasa de interés inalterada,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,e589ea0e66256e609184f63f8493c16e55780baceda96d8654e7a73aa2306f93,224
RPM-2012-05-17:4825:1,data/etiquetas/etiquetas_piloto_r3.csv,Claudio Soto Gamboa,neutral,1,neutral,1,neutral,1,compatible,alta,"el alto dinamismo del sector EGA, que registró una tasa de crecimiento superior a 20%",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,8acae40b9a0cc72ad75b56a030a2257e10e34d803aaeb75fcf55c1ddd55495e8,2087
RPM-2012-06-14:4862:1,data/etiquetas/etiquetas_piloto_r3.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,lo expuesto ha dado espacio para aplicar políticas monetarias más expansivas,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,d989378adf4c7445d94c0b8e7c23c6c4f3fc5d28a4fcb055545fce5fff679fed,2350
RPM-2012-06-14:4885:3,data/etiquetas/etiquetas_piloto_r3.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: reanudación de sesión e incorporación de asistentes,9bf0c299916732f783259bd5fe5dfb6901f035184c0696fa7efd4ea13c400ddf,200
RPM-2012-07-12:4934:1,data/etiquetas/etiquetas_piloto_r3.csv,Rodrigo Vergara Montes,neutral,1,neutral,1,neutral,1,compatible,media,cuya proyección de crecimiento para el segundo y tercer trimestre disminuye respecto de lo contemplado en IPoM del mes de junio pasado,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,c47ec203958df0aef505b005f1e883a428243af44e7d1a30f0e5fe792b91a0ac,201
