supervision,referencia,fold,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral,f1_hd,recall_hd_balanceado,acierto_sobre_hd,n_hd,errores,errores_hd,neutral_a_direccion,direccion_a_neutral
seis_previas,ia_original,1,0.9240506329113924,0.7435651478816947,0.6666666666666666,0.6,0.9640287769784173,0.75,0.75,0.9436619718309859,0.6,0.5,0.9852941176470589,8,8,142,0.6333333333333333,0.75,0.75,16,12,2,8,2
seis_previas,ia_original,2,0.949685534591195,0.8081232492997198,0.875,0.5714285714285714,0.9779411764705882,1.0,0.5,0.9708029197080292,0.7777777777777778,0.6666666666666666,0.9851851851851852,14,8,137,0.7232142857142857,0.75,0.8181818181818182,22,8,2,4,2
seis_previas,ia_original,3,0.89937106918239,0.7405404202279202,0.7222222222222222,0.5384615384615384,0.9609375,0.8125,0.5,0.9534883720930233,0.65,0.5833333333333334,0.968503937007874,16,14,129,0.6303418803418803,0.65625,0.6666666666666666,30,16,6,6,4
seis_previas,ia_original,4,0.8867924528301887,0.6914476827520306,0.6857142857142857,0.43478260869565216,0.9538461538461539,0.7058823529411765,0.625,0.9253731343283582,0.6666666666666666,0.3333333333333333,0.9841269841269841,17,8,134,0.5602484472049689,0.6654411764705883,0.68,25,18,6,10,2
seis_previas,ia_original,5,0.9240506329113924,0.787878787878788,0.6666666666666666,0.7272727272727273,0.9696969696969697,0.7142857142857143,0.7272727272727273,0.9624060150375939,0.625,0.7272727272727273,0.9770992366412213,14,11,133,0.696969696969697,0.7207792207792207,0.72,25,12,4,5,3
seis_previas,corregida_v2,1,0.9493670886075949,0.8438961038961038,0.8571428571428571,0.7,0.9745454545454545,0.8181818181818182,0.875,0.9640287769784173,0.9,0.5833333333333334,0.9852941176470589,11,8,139,0.7785714285714285,0.8465909090909092,0.8421052631578947,19,8,1,5,2
seis_previas,corregida_v2,2,0.949685534591195,0.8081232492997198,0.875,0.5714285714285714,0.9779411764705882,1.0,0.5,0.9708029197080292,0.7777777777777778,0.6666666666666666,0.9851851851851852,14,8,137,0.7232142857142857,0.75,0.8181818181818182,22,8,2,4,2
seis_previas,corregida_v2,3,0.9182389937106918,0.7911207455343385,0.7894736842105263,0.6153846153846154,0.968503937007874,0.8333333333333334,0.5714285714285714,0.968503937007874,0.75,0.6666666666666666,0.968503937007874,18,14,127,0.7024291497975709,0.7023809523809523,0.71875,32,13,5,4,4
seis_previas,corregida_v2,4,0.9119496855345912,0.7683568782790573,0.7567567567567568,0.5833333333333334,0.9649805447470817,0.7368421052631579,0.7777777777777778,0.9465648854961832,0.7777777777777778,0.4666666666666667,0.9841269841269841,19,9,131,0.670045045045045,0.7573099415204678,0.75,28,14,5,7,2
seis_previas,corregida_v2,5,0.9240506329113924,0.778567623665987,0.6666666666666666,0.6956521739130435,0.973384030418251,0.7142857142857143,0.6666666666666666,0.9696969696969697,0.625,0.7272727272727273,0.9770992366412213,14,12,132,0.681159420289855,0.6904761904761905,0.6923076923076923,26,12,5,4,3
seis_mas_trece,ia_original,1,0.9240506329113924,0.7435651478816947,0.6666666666666666,0.6,0.9640287769784173,0.75,0.75,0.9436619718309859,0.6,0.5,0.9852941176470589,8,8,142,0.6333333333333333,0.75,0.75,16,12,2,8,2
seis_mas_trece,ia_original,2,0.9559748427672956,0.8599658292966844,0.8484848484848485,0.75,0.9814126394052045,1.0,0.75,0.9635036496350365,0.7368421052631579,0.75,1.0,14,8,137,0.7992424242424243,0.875,0.9090909090909091,22,7,2,5,0
seis_mas_trece,ia_original,3,0.9056603773584906,0.7654624118165785,0.7428571428571429,0.5925925925925926,0.9609375,0.8125,0.5714285714285714,0.9534883720930233,0.6842105263157895,0.6153846153846154,0.968503937007874,16,14,129,0.6677248677248677,0.6919642857142857,0.7,30,15,5,6,4
seis_mas_trece,ia_original,4,0.8930817610062893,0.7002371829958037,0.6666666666666666,0.47619047619047616,0.9578544061302682,0.7058823529411765,0.625,0.9328358208955224,0.631578947368421,0.38461538461538464,0.984251968503937,17,8,134,0.5714285714285714,0.6654411764705883,0.68,25,17,6,9,2
seis_mas_trece,ia_original,5,0.930379746835443,0.8209773819289815,0.7142857142857143,0.782608695652174,0.9660377358490566,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.75,0.9696969696969697,14,11,133,0.7484472049689441,0.7662337662337663,0.76,25,11,2,5,4
seis_mas_trece,corregida_v2,1,0.9493670886075949,0.8438961038961038,0.8571428571428571,0.7,0.9745454545454545,0.8181818181818182,0.875,0.9640287769784173,0.9,0.5833333333333334,0.9852941176470589,11,8,139,0.7785714285714285,0.8465909090909092,0.8421052631578947,19,8,1,5,2
seis_mas_trece,corregida_v2,2,0.9559748427672956,0.8599658292966844,0.8484848484848485,0.75,0.9814126394052045,1.0,0.75,0.9635036496350365,0.7368421052631579,0.75,1.0,14,8,137,0.7992424242424243,0.875,0.9090909090909091,22,7,2,5,0
seis_mas_trece,corregida_v2,3,0.9245283018867925,0.8153271381617838,0.8108108108108109,0.6666666666666666,0.968503937007874,0.8333333333333334,0.6428571428571429,0.968503937007874,0.7894736842105263,0.6923076923076923,0.968503937007874,18,14,127,0.7387387387387387,0.7380952380952381,0.75,32,12,4,4,4
seis_mas_trece,corregida_v2,4,0.9182389937106918,0.7807326632296032,0.7368421052631579,0.6363636363636364,0.9689922480620154,0.7368421052631579,0.7777777777777778,0.9541984732824428,0.7368421052631579,0.5384615384615384,0.984251968503937,19,9,131,0.6866028708133971,0.7573099415204678,0.75,28,13,5,6,2
seis_mas_trece,corregida_v2,5,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.75,0.9696969696969697,14,12,132,0.7321428571428572,0.7321428571428572,0.7307692307692307,26,11,3,4,4
