fold,intervencion_id,meeting_id,era_descubrimiento,sha256_texto_normalizado
1,RPM-2007-08-09:1388:1,RPM-2007-08-09,True,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
1,RPM-2005-02-10:119:1,RPM-2005-02-10,True,1c47219841164bbb0775e9a2a50e95278911c5c8257603b8c4e727b9dded25e4
1,RPM-2005-02-10:123:1,RPM-2005-02-10,True,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
1,RPM-2005-06-09:288:3,RPM-2005-06-09,True,1c47219841164bbb0775e9a2a50e95278911c5c8257603b8c4e727b9dded25e4
1,RPM-2005-06-09:288:5,RPM-2005-06-09,True,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
1,RPM-2013-02-14:5398:2,RPM-2013-02-14,True,6db847c79af7bfa40a56a4ff4587f2e5e9efc7f8b2939344abe81f8f1d93000f
1,RPM-2013-05-16:5566:2,RPM-2013-05-16,True,6db847c79af7bfa40a56a4ff4587f2e5e9efc7f8b2939344abe81f8f1d93000f
1,RPM-2007-01-11:1047:5,RPM-2007-01-11,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
1,RPM-2005-01-11:40:1,RPM-2005-01-11,False,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
1,RPM-2005-04-07:214:3,RPM-2005-04-07,False,1c47219841164bbb0775e9a2a50e95278911c5c8257603b8c4e727b9dded25e4
1,RPM-2005-04-07:214:5,RPM-2005-04-07,False,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
1,RPM-2006-10-12:897:1,RPM-2006-10-12,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
1,RPM-2007-03-15:1156:1,RPM-2007-03-15,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
1,RPM-2012-08-16:5039:2,RPM-2012-08-16,False,6db847c79af7bfa40a56a4ff4587f2e5e9efc7f8b2939344abe81f8f1d93000f
1,RPM-2015-06-11:6824:1,RPM-2015-06-11,False,074d7e16285b07b1238c377b0837398d99920051624675cfc3ff048a0973886e
1,RPM-2015-08-13:6921:1,RPM-2015-08-13,False,074d7e16285b07b1238c377b0837398d99920051624675cfc3ff048a0973886e
2,RPM-2007-08-09:1388:1,RPM-2007-08-09,True,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
2,RPM-2005-02-10:119:1,RPM-2005-02-10,True,1c47219841164bbb0775e9a2a50e95278911c5c8257603b8c4e727b9dded25e4
2,RPM-2005-02-10:123:1,RPM-2005-02-10,True,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
2,RPM-2005-06-09:288:3,RPM-2005-06-09,True,1c47219841164bbb0775e9a2a50e95278911c5c8257603b8c4e727b9dded25e4
2,RPM-2005-06-09:288:5,RPM-2005-06-09,True,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
2,RPM-2015-07-14:6917:1,RPM-2015-07-14,True,7cdb864c0d7036707b963980db7943b776505c169add0c565707438af3ca192d
2,RPM-2007-01-11:1047:5,RPM-2007-01-11,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
2,RPM-2013-06-13:5635:1,RPM-2013-06-13,False,e915845fe847a2d8f6e7e52a713566c901f065db9924d03d203c095256881821
2,RPM-2005-01-11:40:1,RPM-2005-01-11,False,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
2,RPM-2005-03-10:177:1,RPM-2005-03-10,False,1c47219841164bbb0775e9a2a50e95278911c5c8257603b8c4e727b9dded25e4
2,RPM-2005-03-10:178:2,RPM-2005-03-10,False,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
2,RPM-2006-08-10:818:1,RPM-2006-08-10,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
2,RPM-2007-03-15:1156:1,RPM-2007-03-15,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
2,RPM-2014-07-15:6337:1,RPM-2014-07-15,False,412af9b9906b16cb646fb54cd3b67074898c781c61e76817fe0687ce5aa0ba71
2,RPM-2015-03-19:6682:1,RPM-2015-03-19,False,e93b2f1b64ff069c651d0c470264831f203bc9660ec15c3a2103e8d7aaa9e591
3,RPM-2007-08-09:1388:1,RPM-2007-08-09,True,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
3,RPM-2005-02-10:123:1,RPM-2005-02-10,True,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
3,RPM-2005-02-10:131:1,RPM-2005-02-10,True,ef628efc39b32b6b1fc9a8c64faca1df9ae7bcc415d5b70f5912f9a3b600d885
3,RPM-2005-06-09:288:1,RPM-2005-06-09,True,c4e962cda314430f01b8c9fed199e8513a7ddc80a32c78519f3971df9359fb40
3,RPM-2005-06-09:288:5,RPM-2005-06-09,True,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
3,RPM-2006-11-16:975:2,RPM-2006-11-16,True,19bc9aeda3c1edf3f409f09510a928c4a256a5a66f0dcce644edff0def258321
3,RPM-2015-01-15:6586:3,RPM-2015-01-15,False,e93b2f1b64ff069c651d0c470264831f203bc9660ec15c3a2103e8d7aaa9e591
3,RPM-2005-03-10:178:2,RPM-2005-03-10,False,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
3,RPM-2005-04-07:214:5,RPM-2005-04-07,False,a06a96a75e37d3bd860f2192a10f3d74ada2fa5130ac189bd3a9adf2a1304b31
3,RPM-2006-08-10:818:1,RPM-2006-08-10,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
3,RPM-2006-10-12:897:1,RPM-2006-10-12,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
3,RPM-2007-03-15:1156:1,RPM-2007-03-15,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
3,RPM-2007-05-10:1251:3,RPM-2007-05-10,False,19bc9aeda3c1edf3f409f09510a928c4a256a5a66f0dcce644edff0def258321
3,RPM-2014-01-16:5971:1,RPM-2014-01-16,False,e043943d557af32ac7e69ee2cc6fb794db29b2f2a9de958d5849a0602585cd18
3,RPM-2015-01-15:6592:1,RPM-2015-01-15,False,412af9b9906b16cb646fb54cd3b67074898c781c61e76817fe0687ce5aa0ba71
4,RPM-2013-12-12:5946:1,RPM-2013-12-12,True,ec1a4531f0f206464b906b2cd83748274c3b4fef7ff70b5222460336daff3ff3
4,RPM-2006-11-16:975:2,RPM-2006-11-16,True,19bc9aeda3c1edf3f409f09510a928c4a256a5a66f0dcce644edff0def258321
