intervencion_id,fold,grupo,referencia_v2,pred_control,pred_ampliado,n_caracteres,sha256_texto,margen_control,margen_ampliado,delta_margen,intercepto_control,intercepto_ampliado,delta_intercepto,componente_coeficientes,componente_representacion
RPM-2005-03-10:192:1,1,error_nuevo,hawkish,hawkish,neutral,2447,dc468906fce6ecbf65db2199b0a2b0b887b52637259c53902ecba7a279d5a4e3,-0.0791555911757249,0.011317031766384211,0.09047262294210912,3.3191413278481923,3.2189116967301876,-0.10022963111800465,0.10765003423917274,0.08305221982093908
RPM-2005-03-10:197:1,1,error_nuevo,neutral,neutral,hawkish,542,a78ed50fddc606b0f382fc66f866e3294826a2f77472b09c3fc57e4def442822,-0.02226314493842363,0.13138922370468986,0.1536523686431135,-3.3191413278481923,-3.2189116967301876,0.10022963111800465,0.13116470921878273,-0.07774197169367258
RPM-2006-05-11:672:1,1,error_nuevo,dovish,dovish,hawkish,2863,ff1d0bf03f2e45b1779ebbb86efacb2d7648a27d3d88e017c6f9bebbffbd54e9,-0.1148387462856687,0.3382141928985657,0.4530529391842344,-0.17877684728884835,-0.1458312362885833,0.03294561100026505,0.42027105518425334,-0.00016372700028051065
RPM-2008-07-10:1975:1,1,error_nuevo,neutral,neutral,hawkish,205,157cb71f2ee1c77fea302a643d0e71656f5bbc2c2693bc666e669e6704dd1560,-0.03134740064699937,1.0362791322799847,1.067626532926984,-3.3191413278481923,-3.2189116967301876,0.10022963111800465,1.0486269332426004,-0.08123003143362
RPM-2013-08-13:5748:1,1,corregido,neutral,dovish,neutral,322,25899016a3d23f96f77d280dab69a7d057565b60e285b0d84f951fe1f982d34c,-0.13354797881948965,0.011935311549503447,0.1454832903689931,3.140364480559344,3.073080460441604,-0.06728402011773982,-0.07421038136159523,0.2869776918483269
RPM-2008-09-04:2088:1,2,error_nuevo,hawkish,hawkish,dovish,4349,6f7f01c7cec8debe1e5dc22e838b8f70f9c0a8cc446fde52e0850ed9768b2cf4,-0.41276045800452055,0.039149369639244314,0.45190982764376486,0.09197147487475776,0.11771804273561204,0.025746567860854275,0.40913921114395885,0.01702404863895491
RPM-2012-03-15:4721:1,2,error_cambia,neutral,hawkish,dovish,7810,a15ac89b1c9381662577a0df98af384edb95ed165d0c6b85eae3779df4cb3069,-0.19073186324509217,0.3381856526275412,0.5289175158726334,0.09197147487475776,0.11771804273561204,0.025746567860854275,0.4911874522808534,0.011983495730922875
RPM-2007-01-11:1049:3,3,corregido,dovish,neutral,dovish,2651,16624ca0890522c49acc9726a146b9aa8f56cb4162d0972f22b62dd7851fe11d,-0.07117115333733715,0.404350345243376,0.47552149858071313,-3.1983678249269345,-3.0966046454636844,0.10176317946325009,0.4846042687309422,-0.11084594961347857
RPM-2007-05-10:1260:1,4,error_cambia,neutral,hawkish,dovish,3881,3d04c40c21b43c665da2ca8d943eafe5b072d07ec911316a6efe766f9bc46366,-0.03568507772802165,0.06426456198532537,0.09994963971334703,0.22999032783580342,0.2495877180022511,0.01959739016644768,0.0561934022776375,0.024158847269262797
RPM-2012-02-14:4648:1,4,error_nuevo,neutral,neutral,dovish,6040,124b39b9ea81a9613eaeeecc90bf5da7f7e4cfdce5a5c23b0fb6797274309fbf,-0.020369767271030903,0.10702808598935076,0.12739785326038167,-3.162123455887452,-3.037567705336416,0.12455575055103596,0.09653901739494616,-0.09369691468560487
RPM-2012-06-14:4897:1,4,error_nuevo,neutral,neutral,dovish,3986,d967f993e5cf2fc9c7fb174074c202eb5a2b2ce3bbc959b088aa86101ed57cac,-0.011814028904587492,0.1910103444402863,0.2028243733448738,-3.162123455887452,-3.037567705336416,0.12455575055103596,0.16807266472517213,-0.08980404193133913
RPM-2012-09-13:5084:2,5,error_nuevo,neutral,neutral,dovish,7690,73fdd1cf2e1ce08cd07d35c2f5a5fe818f93ebc2fa572f5a53d7baf8c8b9f54f,-0.43025983814144686,0.06856837486676803,0.4988282130082149,-3.211851632417278,-3.0922465918795448,0.11960504053773313,0.4316815569359089,-0.052458384465429844
RPM-2007-02-08:1090:4,5,error_cambia,neutral,hawkish,dovish,7838,8afda4a81d781cbb33968bd3685450ea57e0298e15ac6ed31f2753a284ca0938,-0.09819791165004332,0.29465828579951503,0.39285619744955835,0.13948384131122493,0.1531545743113607,0.01367073300013577,0.3670552275635537,0.012130236885870943
RPM-2007-02-08:1102:1,5,corregido,hawkish,neutral,hawkish,1996,788bff67d6d3710b80738005c56586c8a15567ee4bc1229c7509364a56b7be6d,-0.024659442743223847,0.05717980018252389,0.08183924292574773,-3.351335473728503,-3.2454011661909052,0.10593430753759758,0.05363085208729441,-0.07772591669914655
RPM-2007-12-13:1607:2,5,error_nuevo,dovish,dovish,hawkish,2271,687a2bc08072a3fcf7d88f1f1bbf02ddbf6ad280c33291cd7b3b0ae217f55cfb,-0.015201502132100142,0.027034480572300845,0.04223598270440099,-0.13948384131122493,-0.1531545743113607,-0.01367073300013577,0.06037258781163994,-0.004465872107104848
RPM-2015-08-13:6965:1,5,error_cambia,dovish,hawkish,neutral,2831,2fe2fed24135c473b3990d273f09b85df7497564ef923843c96f584dc6de2576,-0.016248324150371696,0.04746201394346161,0.06371033809383331,3.351335473728503,3.2454011661909052,-0.10593430753759758,0.07329185060108906,0.09635279503034125
